,review,post_date,useful
10,animal modern rpgs player click cat cat meow sound end dialogue divinity original sin player pet pal skill click cat narrator approach stray cat look pupil thin needle cat ti terrible day innit show dialogue option divinity original sin reach new height expect huge indie game make larian studio able level aaa game even surpass standard regardless flaw play character story embark journey towards world rivellon find answer cause void's awaken could also play one six main character unique story character creation thing also quicksaving anything else must talk someone quicksave first interact item quicksave first opening door quicksave autosave quicksave game similar previous title dos1 may change there's nothing drastic far i've observe good ok bad maximum per issue visual bug 20 gameplay bug 05 note fix reload save obviously everyone love neither action rpg like diablo majority want hardcore rpg like baldur's gate definitely hat read lot text well would recommend anyone play like turn-based game one's best genre i'm write review,February 16,"178 people found this review helpful
25 people found this review funny"
11,hit 400 hour divinity original sin feel like finally review full depth game spectacular everything want original sin quest in-depth feel consequence character race choice top dialogue pick i've play four full playthroughs one still find thing miss i'm sure find next one story fantastic ask storyline game make want read every little lore book learn anything everything go original sin fan there's little piece lore leave around everywhere prick ear get excite there's combat fantastic incredibly strategic every aspect first playthrough tactician give good laugh difficulty need face work around good thing boyfriend face extremely hilarious moment try figure fight fail miserably learn game amaze fun enter realm search perfect gear perfect min-maxing perfect stats perfect combat enjoyable aspect combat divinity original sin hop easy combat intense combat game offer fun recently finish solo honour mode definitely hard adventure leave sit quite fight think beforehand go handle even small mistake mess go amazing combat really need delve truly see remarkable can't find anything enjoy much os2's combat system anywhere else look game literally lose long period time even play casually free time definitely go-to masterpiece game every fantasy rpg player's dream come true mention co-op incredibly fun really stun piece art great many pro os2 con entirely subjective personal opinion really enjoy four-man party system someone like way overwhelming manage four character time like best slot gear piece unique find anything else bonus game second skin ihu sacrifice much play full four-man that's min-maxing perspective probably important others second part like four-man party get taste solid power lone wolf character really can't ever go back good bad thing give game lot replayable value i'm hit 5th playthrough i'm finally need stray away babe sebille push pick player experience story say definitely game recommend anyone buy amazing every aspect absolutely cannot wait definitive edition either big big prop larian studio choice give buyer os2 definitive edition free incredible company listen audience can't wait see future game come,June 25,"104 people found this review helpful
9 people found this review funny"
12,cannot recommend game enough rpg break boundary perceive rpg every problem puzzle feel like solution conceive original sin reward clever think tactic role-playing else stat building create perfect character always fun aspect crpgs i'd say main focus get wrong ton number plenty min-max end day matter much damage combat game truly shine avoid get wrong combat game fantastic control party member individually outside combat prepare upcoming battlefield like assume drop opponent place archer top give wizard ample space clean terrain warrior however find able circumvent combat reward level satisfaction rare game day constantly feel like original sin almost dare break game's boundaries challenge out-think developer everything matter game i'll leave anecdote explored search quest target come upon ruin saw passage foe certainly equip handle current level game i'd probably leave come back later high level navigate around edge npcs detection radius stealth character individually find minuscule spot could teleport would get past foe certainly inconvenient work painstakingly teleport character turn one spot realize one teleporting stick one cast spell unable use hard thought realize could place teleportation artifact close enough previously transport character grab use pull last hero past baddie exhale sigh relief pan camera see come face-to-face character try track positively ooze smugness,June 3,"139 people found this review helpful
15 people found this review funny"
13,like turn-based game best game ever play,"October 17, 2017","144 people found this review helpful
28 people found this review funny"
14,early access review know blasphemy say easily on-par already old classic like baldur's gate think actually surpass freedom even well atmosphere character-building amazing replayability everything significantly well first find enjoyable fall love much potential never really seem get get right away good,"May 28, 2017","173 people found this review helpful
3 people found this review funny"
15,avid crpg tabletop rpg player divinity o fun i've long time pro ton roleplay freedom variety companion npc interesting diverse playing origin character also add even depth writing story quite good larian studio join rank rpg storyteller obsidian mature story compaired os1 traditional journal style quest tracker rather modern map-markers freedom approach objective method lot exploration action consequence afraid punish co-op implement nicely visuals quite good comfy music con quest bug journal update magic still seem dominate several fight come cheese hard especially high difficulty balance skill could use work sidenote armor change hit miss people probs either hate like,"September 17, 2017","169 people found this review helpful
7 people found this review funny"
16,never play first one hate turn-based combat buy figure go ever like game like one instal game play almost hour couple break always find turn base game boring somehow one keep attention way spell combat party work together amaze really open eye maybe do one go back play first might sale story well do far write top notch graphic nice world seem alive many side quest still first area performance great get solid fps 80-120 setting maxed 1440 soundtrack great well fully voice probably save game love reading hate reading game sure would love much hadnt voiced voice acting actually really good game really look forward sink ton time game zero regret,"September 14, 2017","216 people found this review helpful
5 people found this review funny"
17,early access review game developer half talent attention detail larian market saturated garbage today larian one best divinity series prove far one best rpgs i've ever play keep,"August 12, 2017","788 people found this review helpful
17 people found this review funny"
18,simply put divinity original sin expands best idea first game take complete 180 tone deliver much darker adult experience compare first one notable change immediately realize character creation begin race tag origin story complete stat revamp give new level depth character creation origin story presets customizable deliver unique experience notable origin story character interaction even choose create find interact around world recruit important figure lore origin story surface level seem gimmicky allow whole new level replayability combination tag system tag system allow acquire new tag effect quest dialogue progress game assign custom character character creation origin story character tag preset well brief synopsis lore however change character creation soon get combat quickly notice much change divinity original sin keep basic first game intact action point recieved complete overhaul streamline process choose action new system action point total action point start encounter skill cost 1-2 action point may seem cater casual audience first new skill accompany revamp allow level complexity combat never see divinity series new skill introduce second game ambitious creative innovative first game even start game acquire interesting ability use control battlefield new target system provide os2 give sense clarity lacking first game height advantage disadvantage mean position matter ever addition surface system first game fire poison poison cloud static cloud electrify water etc surface bless curse interesting variation choice combat example fire harmful team bless it'll apply heal every turn prevent member within freeze campaign absolutely astound quality length first full playthrough game take roughly 80 hour even without dozen sidequests matter choice origin character custom find campaign deeply satisfy however note developer mean play origin story character show origin character least half dozen unique encounter game still engage playing custom character origin story really allow good capacity role playing interaction game world steam award 2016 pick astounding game staggering amount interaction game even alpha overwhelming divinity original sin could well shape game year 2017,"September 15, 2016","253 people found this review helpful
2 people found this review funny"
19,i'm 72 year old best 20 hour life edit play game multiple time include finish honour mode say opinion game even high first 20 hour finish game feel like life complete there's nothing leave live may last game ever play review ever write would like thank larian fill void plague half century find main story well every single side quest story fun interesting boring fetch quest far tell handle side quest whether complete affect end could consider extension main story could unsatisfied end rush skip thing build character way see fit almost build completely viable like way build character wait complete act rebuild way want frequently want way end game good test new thing end game main character fire breathing geo pyro battle mage wield fire staff use warfare skill shower enemy meteor necromancy physical damage case enemy much resistance element pretty godly plan try solo honour mode run next similar diverse build love lizard best part game combat extremely well do fun can't really say review cover though know fight seem absolutely impossible really i've go fight half party annihilate get anything yet still emerge victorious there's always way win even enemy outnumber outleveled gotta think like many review state still bug far tell minor multiple play throughs multiple difficulty experience major bug nothing game breaking nothing really affect gameplay much bug i've experience many unvoiced line arx incorrect journal entry sometimes character would act blind combat even though could't use ranged skill see around rare last single turn sometimes enemy ai would derp they'd run around repeatedly climb ladder ap custom undead character receive appropriate immunity bleeding suffocation though recall character ever afflict bleed fane receive immunity undead afflict decay attempt avoid poison puddle sure bug oversight altitude affect many player enemy melee attack entities 10 meter strike melee affect skill dragon's blaze laser ray charge skill battle stomp etc think that's i'll add remember review complain enemy omniscient know strength weakness include whether undead true also true player player loremaster one character examine npc enemy gain insight strength weaknesses one character need loremaster examine someone use skill level whoever even person dead even work final bos point game unfair enemy spot weakness summary fun game great character customization great combat good story minor bug challenge scenario suppose that's least half fun could mention poor inventory management countless review already cover tip carry couple piece thievery loremaster gear make sure pick lock identify item may time base skill sufficient tl dr recommend show 10 10 completely subjective arbitrary useless rating system,"September 19, 2017","2,141 people found this review helpful
827 people found this review funny"
20,without doubt one best rpgs ever play complete honestly say secure place among top favorite game time begin game option create character choose one several premade character unique backstories questlines highly recommend go route character quest well write interesting find extremely invest main character lohse would become companion also really interest witness member party motivation bias try work together also clash look best interest character well write perfectly voice act really help make already immersive game feel even alive dialogue great whether main character random npc really feel like everyone unique personality gameplay incredibly fun really can't think last time hard time put game give lot freedom leave entirely choose progress throughout world often numerous way complete one task depend creative good evil want add choice make actually consequence sometimes line right wrong might clear sometimes find decision make might come back haunt one way another love really cool see choice make previously come much wide impact originally imagine turn-based combat system really well do lot way get creative use environment advantage battle well design interesting type enemy present unique strength weakness really put thought exactly design group provide nice amount strategy battle find mess build option respec something think u appreciate ability save u lot wasted time also worth mention quite option far difficulty first playthrough classic default difficulty find perfect fight struggle anytime face roadblock find need achieve victory simply reevaluate strategy personally love rewarding feel look forward future playthrough harder difficulty however someone look less hassle happy find low difficulty explorer allow simply enjoy ride without frustration quest extremely fun vary require solve puzzle riddle get bit creative ability item one thing really love quest system hold hand meaning unlike rpgs basically give gps tracker show exactly need go game tend point general direction expect figure offputting please know speak someone truly awful sense direction ton fun find get lose try find need go next provide favorite moment random encounter come across explore surprising reward experience game attention detail truly incredible world really feel alive even area first glance appear devoid life might something hide especially pet pal ability allow talk animal spirit vision allow see speak ghost find look close enough shortage thing see do top soundtrack incredible provide perfect music accompany truly epic journey universe larian build absolutely astound manage pack much game honestly bit overwhelming time character questlines decision make throughout game sheer size world truly impossible take one run speaking someone rarely play game second time i'm already gear second trip divinity original sin imagine i'll make even eventually i've rant rave much adore game must point really negative thing say buggy course 111 hour playthrough run number bug range mildly annoy gamebreaking big one course gamebreaking bug make impossible enter room need use begin final quest order get around get bit creative basically stack item could get one character glitch say room allow rest party teleport obviously pleased able get past annoy bug can't help frustrate problem would even exist first place much love game bug face really take away overall enjoyment truly hope larian patch soon possible course i'm sure play game without face bug change fact unfortunate enough encounter might well overall truly love game believe deserve praise get mention one complaint bug encounter frustrate issue easily fix patch speak captivate find game continue press despite issue absolutely denying game craft lot love complete faith larian continue active post release fence suggest wait bit buy imagine take long issue fix 45 euro manage get one amazing gaming experience ever encourage everyone interested give try game masterpiece plain simple,"October 21, 2017","152 people found this review helpful
4 people found this review funny"
21,hand one best crpgs recent history i'm willing say like even pillar eternity i'm infinity engine rpg nut bit different classic crpg main story seem extraordinary grow make game good journey multiple way achieve thing want steal chest without see teleport away affar want blow door much hp blow explosive barrel want escape keep evil cleric well i'll let figure one many way choose voice acting great consider little budget compare triple company every npc something say writting right immersive remember combat torment tide numenera wipe nightmare memory combat game fun complex actually make look forward battle companion unique complex great char development well proggress could go age bottom line outdo immensly game go buy support larian make,"September 23, 2017","129 people found this review helpful
1 person found this review funny"
22,former black isle designer i'm rather critical come game high expectation i'm rarely satisfied game today would appropriate say i've content game play leave well case divinity original sin i'm quite envious fact involve design game exceed expectation provide many hour game pleasure hope pray future sequels please let come equal great quality thank larian many hour game pleasure receive game please keep good work sincere compliment staff,February 13,"224 people found this review helpful
10 people found this review funny"
23,play game week say dos2 replace skyrim time favorite rpg good pro voice act graphic turn base combat immersion factor get solid 10 finish game far story interesting even story end stink still draw factor re-playability already apparent i'll play available character experience story main story line pre-created character story choose create character mean available pre-created character compatriot story complete current playthough i'm go know sebille lohse's story finish they're party gotta play find story end extremely well craft rpg one clear unmistakable winner kudos larian self-publishing avoid pressure release game complete intend game guys get correct although i'm fan third person overlook party view point game prefer first person eyeball forward one succeed grasp attention refuse let go i'm drawn focused worried sssso happy fight character control still alive i'm almost bounce seat ready loot blast play downside i've felt far really terrible inventory management there's load stats rpg want stats high possible well ain't gonna happen there's agonize struggle around apply puny number level point plethora possibility loot that's uncover variety statistical application distribute well want best give arrrrgh like extra point one two stats one choose maybe could give character lose stats grrrrr maybe keep later maybe i'll sell wait maybe it'll useful situation ever blank i'll sell i'll keep later arrrgh involve time frustrate overly time consume there's many item enhance variety disparet statistic overwhelming like 20 page menu delicious food great restaraunt starve man want i've always opinion less game embrace there's lot item lot different thing i've probably spend time try figure get maximum impact i've spend explore i'm really unhappy though minor annoyance craft mechanism could take deep dive people like explore type mystery try item hoard ultimately lose certain discovery hey good y'know may miss side quest there's much content discover even though i've break side quest far i've forget press onward quest currently let put way inventory management tedious explore certain item open additional quest sheesh enough already oh put point pet pal talk animal open probably dozen side quest fun mean there's hundred quest along way open dozen go get time game easily worth current price around 40 favorite gaming experience rpg's divinity original sin favorite time well do larian,August 4,"248 people found this review helpful
8 people found this review funny"
24,play play easily one great rpgs ever make would recomend litteraly everyone like great story great turn base combat insane amount depth beautiful visuals fall love game much i've play dos1 do ee around time story game unintresting gameplay alone keep come back dos2 even alpha state vast improvement dos1 do ee everyway kill whoever want steal whatever nail dos2 give freedom rpg date slight spoiler kill gaurds boat game dialouge reflect also kill companion boat leave die special dialouge action update finish full game safely say favorite rpg time period larian icredible job game obvious much love care go game update nov 24th 2017 i've put 600 hour still can't stop play i'm play i'm think that's indication game's quality know game century larian studio give hope game industry must buy especially want give middle finger scummy publisher fill game microtransactions loot box anti consumer pratices bug nothing truly detract experience game patch roughly larian one publisher trust fix everything even thing wrong miniscule,"June 24, 2017","114 people found this review helpful
8 people found this review funny"
25,adventure describe divinity original sin word would adventure without doubt best modern crpg game date oldschool gamer understand someone say nothing stand one line game like planescape torment baldur gate well time change gaming industry change receive best polished crpg game ever make say even sentimental world divinity original sin full content best interact almost everything everyone boring npc exactly dialogue line game everyone unique something say also talk huge crpg game fully voice act oblivion-like voice act actor main narrator u time voice actor outstanding job every character sound special play first original sin know expect fight approach many different way even tough fight one properly use scroll skill change everything course way easily lose fight hard make think strategic way important satisfy compare crpg game one best part divinity take roughly 105 hour finish game say divinity original sin one big crpg game game high replayability value every character personality origin story play different character new quest approach many situation totally different way origin character interaction across whole game main story interesting never lose interest want spoil anything really good piece write side quest keep high level well first original sin also receive minimal amount help quest complete game day ago honest wait play think new character make different decision several point game something amaze many huge game like witcher fallout give 100 hour actual playtime mostly single experience game play civilization series say one turn syndrome one hour one evening one day syndrome game quite fresh still bug experience gamebreaking bug though many small thing sure fix future final act final battle weak part game feel devs hurry side whole game good simply divinity original sin humble opinion best game year 2017 let hope see crpg like future obsidian look whoop we've get quite long review enjoy game edit find typo,"November 7, 2017","100 people found this review helpful
3 people found this review funny"
26,play witcher experience another's fantasy adventure play divinity original sin make fantasy adventure,"December 23, 2017","526 people found this review helpful
29 people found this review funny"
27,divinity original sin larian's second foray grand re-imagining divinity universe one say really outdo time larian studio take bold step old rpg style player enamour original divine divinity polish modern capability extremely successful informative release divinity original sin enhanced edition grant insight necessary improvement make dos2 absolute masterpiece player sure find trap within game length time outside world shall begin pass unnoticed one become transfixed beauty larian's late release divinity original sin perhaps engaging exciting satisfying well-designed adventure rpg decade quite title fight world dos2 massive hour upon hour upon hour dense creative unique content stack together vibrant stunning game world every location chock full fantastic character fully voice quality act rich realistic personality story drive player's desire uncover every ounce story build upon deep lore sprawl history world divinity main campaign span four act fill brim hour non-linear content include side quest treasure hunt battle secret uncovered multiple way complete numerous outcome immense amount freedom player choice like almost modern game compete really dull moment divinity game shin example effort dedication larian put work combat dos2 revamp since previous release though maintain much divinity original sin like predecessor adopts turn-based combat turn one finely craft perfect edition style combat date every moment battle excite even one rarely play turn-based game combat astoundingly well design thoroughly enjoyable player command manner skill thanks diverse customisation option available freedom choice craft bomb traps potion poison arrow much much player always find array tool combat enemy class tie particular tree skill one mix match see fit provide learn best use ability dos2 encourages interactivity environment player much freedom use object terrain combination attack devastate effect oil set ablaze water freeze enemy slip combination many far deep complex game hold complex intriguing combat system know combat mean forgive game boast variety difficulty option make enemy easier expand skill set ai intelligence pose worthy adversary even well skilled player something bring player first time divinity original sin make triumphant return dos2 wonderfully design multiplayer aspect drop-in drop-out co-op allow player seamlessly enter world another player join journey ally foe multiplayer system beyond extensive delight player woe others player act friend foe journey betrayal sweet thing absolute freedom multiplayer system fault however play stranger sometimes lead rush thing progress without make choice want make highly recommended player save co-op first playthrough play friend one communicate easily rely dos2s world big grand risk someone spoil however experience play dos2 friend two inimitable experience try work together one another towards finale game thrill beyond imagination alongside beautifully craft world intricate character massive freedom choice expansive customisation awesome combat divinity original sin much like installment series boast amazing soundtrack compose borislav slavov dos2s soundtrack combine epic score emotional piece jovial warmth tavern music one best composition year even beyond rival hollow knight nier automaton potentially even witcher traditional style rpg music reminiscent golden oldie unique flair spark return track divinity title music larian's late game something no-one enjoy hour beautiful track place heart-wrenchingly well within game world doubt straight onto youtube listening whole lot hour everything else dos2 offer soundtrack really cherry top something behold summarise divinity original sin one word would brave larian studio start development game precariously via kickstarter backing amazing success divinity original sin certainly garner enough interest support new installment return old school rpg style risk pay style popular larian take something good turn something beyond great dos2 doubt remain time among favourite game time sink many hour game several playthroughs still new one unique engage timeless game play heart tell play,March 13,"75 people found this review helpful
1 person found this review funny"
28,craft spell potion recipe ridiculous amount depth combat super fun extremely flexible situation multiple solution range super obvious obscure ridiculous take time tutorial town nearly 30 hour long character development leveling handle much much good first game much easy create customized character instead overwhelm choice able customize every preset character ridiculously overwhelm time waster game quest log extremely vague helpful map flag wrong stuff,"September 19, 2017","142 people found this review helpful
2 people found this review funny"
29,i'm 35 year old first time i've happy cry entire life play game even know type emotion exist inside hurry give money hell buy twice friend excellence story craft like happen generation miss also whatever go spoiler kind take time work play game trust danger finish game kinda feel like i'm do game feel complete like every game ever play build nothing could ever good divinity particularly lohse's story arc keep mind might spoil play,April 25,"206 people found this review helpful
29 people found this review funny"
30,early access review first time review game felt one never play first game though heard good thing figure give second run far even early access can't say disappoint game self remind classic computer rpgs pen paper rpgs play much young bit fair easy understand yet still maintain lot make challenge character customization start bit limited get high level want play party member lock start class love hop lot choice full release gameplay wise point click though find lot interact world different way one different way find play elf elf group elf eat corpse gain memory person actually play part game combat much point click lot tactical choice make enemy ai well refine act actually smart way even easy difficulty also find pretty neat spell item attack change battle ground make hazard enemy enemy able freeze wet spot ground give chance someone slip spot shock water light stun everyone stand wet spot though time least find hard move avoide hazard time like area affect slightly large really even tried bit co-op friend bit hidden sense figure connect one another clean easy storywise find interesting enough dark world many dark theme demon torture corruption premade character background behave well accord background another different system game tag system basicly pick tag character game choice make base tag pick pre mades different choice well make base stand alone background though feel get result matter background still help immersion make created character feel seprate rest graphic important decent enough game though play completely zoom pretty much way play rpg like find bite difficult notice thing could pick interact since small rare time misclicked something small old system able play high setting able however able play high even though game suggest play low see pretty much everyone able play game issue even try high setting slight drop frame rate overall divinity recommend highly especially fan old school rpgs pen paper rpgs feel right home playing high level immersion ability costumize character however desire story do present well world interest enough keep play combat deep challenge think side brain approach encounter effective way possible plus think best way build character deal threat prefered way might find little frustration interact world due small thing even miss thing careful big enough issue remove enjoyment game hope find helpful take time read,"September 14, 2017","223 people found this review helpful
3 people found this review funny"
31,2017 memory say confidence divinity original sin game year although back game kickstarter like first early access copy play full launch could fully immerse immerse high-fantasy adventure manage make magical fantastical feel realistic gritty take everything good divinity original sin improve upon whilst also make need play first way take place thousand year whether follow quest portray savior universe hero complex much try solve angst tiny rat really believe character response balance epic banal frivolous fateful create woven world wonderful experience first playthrough co-op friend summoner focus gather minion bit heavy hand though send minion battle moment notice afar stand aside watch ebb flow supporting command field speak harsh truth frequently get trouble even though feel righteous solo playthrough morally ambiguous pickpocketing hitman deep dark past block memory fight word flirt absolutely everyone often get desire alternative way even though majority quest multiple playthroughs bar character story quest dark deep feel different different dialogue vary method result genuinely diverse result testament freedom flexibility depth game divinity original sin reward exploration creativity many side quest discover complete turn every rock talk every npc try thing little box may frustrate delight every stage glow quest sign immersion break yellow exclamation mark like read fine everything beautifully uniquely voiceovered like pay attention detail go miss lot fun game people like genuinely invest time attention world play character perhaps else remind campaign youth sorely miss tactically combat complicate make different difficulty setting cater preference challenge brute force thing inclined reward play smart level game give tool feel like tactical genius deep satisfaction pull clever combo divinity original sin old school charm baldur gate planescape torment modern mechanic beautiful aesthetic finally feel like rpg surpass take decade u get wonder pinnacle genre long say game find review old welsh lady interesting please follow thanks,January 8,"80 people found this review helpful
4 people found this review funny"
32,i'm good review want leave recommend 45 lootbox micro transaction season pas great story plenty twist wow-moments lovely vivid character beautiful backstories ambition decision matter journal instead questlog voice dialogue malady,"October 12, 2017","142 people found this review helpful
7 people found this review funny"
33,well like tedious quest dont like common npc stereotype hate lousy combat mechanic poor strategy else hate game play like literally cant spell scenario raise baby demon chicken conquer world tele-rob ignorant merchant ignite grenade people's pocket befriend cat eff reason cause know he's like mysterious he's really good look cat lecture crab oh try become demigod save world apparently insane pathing possibility oh dear tp well round scenario emo npc drink blood possess demon like totally fine god landscape spend whole 10 minute explore map praise beauty remember enter fight hell like click spell actually launch cause casting animation suspend they're ing magnificent much cat tho he's nice cat yeah maybe bite much maybe write hundred time play coop mode one best gaming experience entire life entertain challenge captivate course make sense sometimes cause keep awesome trick cat try king scenario know adapt sh get sh together get together put backpack sh together make wonder nowhere like try act crazy still cool sh keep happen ing transsh itation like alchemy something beautiful smart sometimes even touch funny hell know best part cool cat nice hidden quest insane replayability nutsy combo perfect leveling reroll system malady kinda sexy like entirely that's okay talk boat condor phoenix omelett cat god cat mostly know cat really important mean even common though really nice cat scenario voice acting cause every eff dialog voice act like hour best investment year friend like like good ol rpgs like baldur's gate neverwinter night icewind dale's fan i'm look right yo dawgs buy offer like friend offer play crazy mindf ing adventure together deserve importantly cat,April 3,"194 people found this review helpful
128 people found this review funny"
34,audience kid everyone casual player pro player graphic potato really bad bad ok good beautiful masterpiece price quality full price wait sale average refund requirments 90 pc minimum medium fast high end nasa computer difficulty need arm ez easy learn hard master hard first hour dark souls game time length really short hour short hour hour 12 hour long 12 hour endless story still good twilight average good fantastic bug game one big bug bug destroy game lot bug bug use speedrun nothing others multiplayer yes singleplayer yes,January 20,"361 people found this review helpful
37 people found this review funny"
35,play divinity original sin splitscreen local coop controller wife game brilliant everyone say love love love able play cool game together highly recommended,January 13,"82 people found this review helpful
3 people found this review funny"
36,apparently people still put effort make game huh,April 21,"261 people found this review helpful
63 people found this review funny"
37,start new game play game beat game end credit roll jackhammer esc key get back main menu soon possible start new game time,May 3,"176 people found this review helpful
78 people found this review funny"
38,time game instill sense wonder i've rarely felt 20 year game make laugh loud genuinely care there's overwhelming amount thing see there's immense depth everywhere look one game regret buying full price i'd gladly give larian good honest developer tell title labour love genuinely think we'll look back dos2 decade classic crpg genre,"September 19, 2017","86 people found this review helpful
1 person found this review funny"
