label,text
1,"Right from the beginning, with track #1 (""New Life""), I pretty much knew what to expect from the rest of this CD: fluffy, upbeat synth/pop that made me feel like I was ODing on ""sweetness"". Comparing this CD to Depeche Mode's newer, more somber music, I was amazed at how different they sound now compared to twenty or so years ago--and thank god for the change, too. I know I wouldn't be a DM fan if all of their songs had remained like this.The only two decent tracks on ""Speak and Spell"" (or, at least, the two that I didn't outright hate) are #2 (""Puppets""), a medium-tempoed song with a catchy chorus, and #11 (""Just Can't Get Enough""), a high-energy, spunky track. The rest are just too cheesy and silly for me, in particular the two ""pretty boy"" songs: #4 (""Boys Say Go!"") and #6 (""What's Your Name?""). I've honestly heard catchier tunes on my old Nintendo system, i.e., Dr. Mario. Depeche Mode fan or not, you can skip this CD and not feel guilty about it."
1,"I don't own this, which is surprising because I love to ""discover"" new acts. You want to know why I didn't buy this? I don't think they should even be allowed to sell this garbage! ""When I get you all alone, I'm gonna take off all your clothes, ain't nobody gonna interupt my game."" I couldn't believe that a song like that could make it onto the airwaves. I know you'll make fun of ""Genie In A Bottle,"" but I don't care, it's innocent and cute when a girl does it. When a guy sings stuff like this, I want to throw a rock at 'em!"
1,"As we all have one time or another, had to read shakespeare in school for English class. That was my reason for this, my son needed it for school. I'm just glad it was available. He needed to Kill a Mokingbird, it wasn't available for Kindle."
1,"ALL I WILL SAY IS THIS WAS A GREAT RELEASE WHEN I FIRST BOUGHT IT AND I WOULD HAVE GIVEN IT A FOUR, BUT AFTER HAVING HEARD JUVENILE'S 400 DEGREEZ TODAY (SEPT. 30, 1999) FOR THE FIRST TIME (NOTE: YES, I KNOW I'M LATE LISTENING TO JUVENILE'S 400 DEGREEZ) I WAS VERY DISAPPOINTED WITH MANIE FRESH AND JUVENILE. JUVENILE'S 400 DEGREEZ IS THE BEST CD SINCE SNOOPS'S DOGGYSTYLE AND DRE'S CHRONIC. BUT THIS CD IS NOTHING COMPARED TO JUVENILE'S 400 DEGREEZ! IF YOU DON'T HAVE 400 DEGREEZ, GO BUY THAT ONE INSTEAD OF THIS!"
1,"A faint excuse for hard rock, in any case, would surpass System of a Down's awful music, and their CD ""Toxicity"" is no exception. The song that is the CD's namesake has no identifiable beat. Chop Suey is half-assed. Half of the remaining songs are worth little. There is not a track on Toxicity that is worth anyone's time. System of a Down, a bad band in any case, has not had much luck in displaying their apparently quasi-mystical musical talent, and it remains to be seen how anyone can enjoy System of a Down's music-that which lacks tone, feeling, or any sense of emotion."
1,"This is the worst film I have ever seen made by and about Chinese Americans. It may be of interest to people of mixed Asian ancestry since most of the cast is of mixed race. The premise may have been taken from an episode of ... Little House on the Prairie(!) wherein Charles helps a woman fake her own funeral to bring her ""distant"" kids home to see her."
1,"This movie plays as if it was directed by the camera.It looks cheap is hopelessly incoherent.Stick with ""Close Encounters""."
2,"Mercy starts with a bang and doesn't let up until the final surprise.Lots of fun to read, lots to think about. Mercy was hard to put down. I enjoyed the Palma character.I would recommend to anyone who likes a good detective story. I have passed it to several friends who also enjoyed it."
2,I use those diapers for years. They are good for my daughter and other babies. This one is bought as a gift for our friend.
1,"i can't live without carbohidrates! if you want to lose your mind, follow this diet; the pills dr bernstein prescribes for people who are addicted to carbohidrates, my doctor will not prescribe, i know this because he recomended me the high carb low fat diet to loose weight."
2,"After I watched this film I was ready to watch it again. This is a fantastic movie; if you love a great action packed film with a beautiful scenery and a wonderful story of courage, friendship and love. You will enjoy this film. With a love of history in it's truest form. Don't listen to the critics they never know what they are talking about I somtimes wonder if they even watch the films they talk about. Watch this film you will enjoy every sec. of it."
1,Tom Brokaw is not a gifted writer. He wrote this book in the same dry and simple style as he uses with his TV audience. The book is completely stripped of romance and soul for the sake of the lowest common denominator. I have met many WW2 veterans who tell stories woven with romance and heartbreak that bring tears to your eyes. This is not represented in any of the 4 page biographies of these common place heroes. Pure non-fiction at its most uninspiring.
1,"I have several ""Mr Coffee"" branded products which is why I chose this one. Have to say I am disappointed. My coffee gets luke warm then cold using this product which is disappointing. I would not recommend this product to others."
2,I live in Pennsylvania and I recently saw Corvus Corax play at the PA Ren. Fair. I was quickly in love with this bands music. I bought this cd at their show and it has quickly become one of my favorites. I love rare and uncommon music and this one sure pleased me. It amazes me how dedicated this band is and how each song sounds a bit differnt then the last. This is a great cd for anyone who likes music that is a bit differnt then everything else.
2,"I've read the play, the screenplay, have seen it performed and seen the movie and believe that Beautiful Thing is one of the best stories of our time. It is the story of two young boys from broken homes coming of age while dealing with the complexity of their growing feelings for each other. Some critics may say that Harvey has stereo-typed his characters and that may be true but who, in this day and age, DOESN'T fit into a stereo-type. In a world full of cynicism and repression, Harvey presents us with a story that gives everyone who reads his play or sees it performed a glimpse of hope within the darkness."
2,"Not only do i love the pampers brand because it fits perfect on my 1yr old but also it holds all her ""stuff"" lol the amount is amazing i didnt have to buy diapers for over 2 months!!"
1,"I found this movie pathetic at times. The drug use and plot line was, at times, absurd. I wish I hadn't wasted my $ renting this b/c it just wasn't worth it. The director's failed attempts at being ""artsy"" with the alligator, iguanas and the like was obvious and remedial and any action to be David LynchY was lost on practically anyone except perhaps the director.As you may surmise, this won't be one in my permanent library."
2,"Let me start off by saying that if you are an F1 fan especially a technical one(like myself) you can't pass up this book. If you do not know who Giorgio Piola is, he draws for the weekly magazine AutoSport. He is one of the best artist I have seen. His technical drawings allow you to understand the F1 cars in a technical perspective. Compared to the last edition ""Technical Analysis 98"", this one is even better. If you don't have the 98 book you should order that one too. I do like the 99 book since it is written in english only as opposed to the 98 which is in italian and english, but thats not a problem. What will really impress you is the attention to detail of the drawings, but they are so easy to understand. Again this is a must for any F1 fan. Hope you enjoy it as much as I did."
2,the product is cute and just what i was looking for. they were very helpful when i called and asked a question prior to making my puchase.
2,"I bought the 512mb for my daughter. It's big enough (drive wise) for her favorite songs and small enough (compact wise)she can take it with her instead of a portable cd player when we travel. The sound is pretty good and transfer is easy, though a little slower then the other mp3 players that we have."
2,"Joan Crawford & Jack Palance are sheer perfection in this tightly directed film noir suspense film. Not for a moment does the tension ease! Crawford has done excellent work in many of her large library of films, but this ranks right at the top. This is one to own!"
1,"When i first read the plot for this book, it sounded good. Maybe not original in the Zombie genre (i'v only found Sandman Slim Kill The Dead original in the genre). But god i did not expect it to kill me with boredom. I am a avid reader but i had to push myself to finish this book, it was slower than the undead it chronicled. Also i didn't care by the end of the book which of the main charters died...i was actually hoping for it . The mere thought of trying to read the others in the series... frightens me. Unless David Moody's style of writing changes and actually gets some life to it...i wont be reading further novels from him."
2,"This movie is quite a gem. Not the usual American fare, very refreshing and well told story. I gave it five stars because I couldn't give it six!"
2,"A year ago, for schoolwork I had a choice to read this book, and I took it. Everyone said they're siblings said it was boring. Not so!!This was an excellent book, for pleasure reading and for learning about Colonial America. An great book for teachers to read with their students, too. Masterfully writen, a great book. I reccomend it."
1,"Does this guy tape record himself at night? For more grade school poetry, nonsensical statements, and Haiku's written by dumb people go out and get this CD ASAP."
1,"This may not be the films fault, but I did not like it. Not my sort of thing, so I probably never should have bought it in the first place."
2,"Once you accept the mumbo-jumbo elements of how Civil War veteran John Carter is transported to Mars, you can settle back and appreciate the remarkable fantasy world that Edgar Rice Burroughs describes. In a driving narrative that never lags, Burroughs succeeds in creating a multi-layered society rife with racial animosity and social unrest. Carter becomes the igniting spark, the focal point for societal change at all levels. This book is actually the first of a trilogy. Books two and three are ""The Gods of Mars"" and ""Warlord of Mars"" respectively. They are all excellent - so good you'll have trouble believing that they were written nearly a hundred years ago."
2,"I must say that this classic, by the master of Science Fiction, is one of the greatest Scifi books written. Ray Bradbury has proved to the literary elitist, that Science Fiction is not just about non-existing technology. No, this novel questions the self-censoring nature of man. It takes place in the future, 1990s, a future for the when the book was written, and tells a tale of a world devoid of books. The firemen, no longer put out fires, but start them. They burn books. Hence the title: the temperature of which paper burns. Though, I suppose the most interesting part of this story is that the policy to burn all books did not come about from the government. No, instead regular people began to democratically burn books themselves because books typically have that one element of life that common people usually do not want to deal with. Controversy."
1,"I put them on at the doctor's office and the first time I had to take them off, sure enough, ran them. Otherwise, liked them very much."
1,"All the features are nice, TV Guide worked (note that browsing and setting recording preferences is very SLOW), BUT when the TV Guide is downloading (all the time) or you are recording / playing from the hard drive you constantly hear a grinding sound from the hard drive. These guys must have used a cheap hard drive or something. I have the Amazon return slip on my desk......"
1,"Talk about junk. Who would publish somethng like this? I see that it was published by some unheard of publishing company in Lakewood, Ohio? What other garbage have they published? I can find nothing about any other books published by this ""so-called"" publisher. Only some kind of religeous tracts tye stuff. The earlier reviewers have lready hit on the faults of this book. While the book indicates that permission was obtained from AOL to use these postings, how abot all of the individual posters? How many of them simply used a username that was the same as their e-mail address header? And how many of them were embarrassed when friends or family may have stumbled across this and recognized them and their postings. Postings that were assumed to have a certain degree of semi-privacy? Shame on AOL and shame on this so-called author for simply copying months and months of postings and copying them into a manuscript and then somehow getting it published as a ""book""."
2,Best game ever buy it fun caracter switch select button item select R button Password mondo mountain XGVXHQWS. If you want to win consantraitI have 10 passwords the mondo mountain password is above.The best game ever $$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!! buy it now worth the $$$$$$$$$$$$ buy it when you can!!!
2,"I'm not much of a ""hard rock"" fan. I enjoy it from time to time, but I mainly listen to Radiohead, older hip-hop, etc. But this album got me hooked.One day, many years after the release of Toxicity, I decided to check it out. Right after the first track, ""Prison Song"", I knew this was going to be a great album. The great riffs and political lyrics basically told me I was in for a treat. And I sure as hell was. Serj Tankian's interesting [but awesome] vocals and catchy guitars and drum beats make for an awesome listen. Check it out.-Jeff"
2,WOW!! This cd is outstanding from start to finish! Every song is great! I can't even pick one song that i really don't care for. Good job Clay....your first cd is worth 5 STARS. Buy this today!
1,"Ms. Browne seems to be well meaning when describing her experiences and her dreams and those of others. However, the books spends more time discussing Ms. Browne's views about herself rather than focusing on the more interesting information about dreams themselves.It is obvious from reading the book that Ms. Browne is a lay person and a ""spiritual guide"", not a scientist of any kind. I would venture to guess that most of the information she provides is based on her own opinions and conjecture rather than hard, sounds facts.I was very disappointed with this book, and only ""dream"" of getting my money back . . ."
1,"I also agree that it's like scotch tape. I tried several strips, peeling from multiple angles, and none of them worked. Instead, I got a swelling eyelid the next day. This product doesn't work at all."
2,"What a good movie. However as good as it is ,it sometimes takes on a child-like sense of humor.... The acting is ok. But i wish they had a stronger story line...The guy who plays satan is great. And Many of the parts are jaw dropping..... I give it 4 out of 5 stars,,,,I do say buy it because when you see it you will want to see it again......"
2,"I bought this warmer for my desk at work. It arrived on Saturday so I gave it a test run on the weekend. It works great, keeps my tea perfectly warm. One word of warning though, if your mug has a wide base to it, it might not fit on the plate. Other than that it just great. I'm very happy."
1,"The sound quality is good. However, do your research. There is a design flaw in the headband whereby the plastic covering on the sides will crack after 2+ years of use. Turns out, after contacting bose, the headphones are neither factory nor user serviceable. You can exchange them in for a new pair at $100 cost. That's right, if anything breaks whatsoever, you are expected to buy a whole new pair. So instead of just stocking spare plastic headband parts for $2, bose wants you to pay $100 for another pair once these fall apart. I don't know about you, but for $300, I expected them to last a bit longer."
1,"In Hawaiian, this means Dirty, dirt, or filth, I think this word best describes this album. I bought this album thinking I would hear a wonderful singer and voice, but the only thing I can say is that screaming monkeys at the zoo sound better. All of his songs sound the same, kind of like a broken record. ""Invisible"" and ""I Will Carry You"" sound like the kind of screaming and moaning you'd hear at a mental institution. It seems his music only appeals to 4 to 14 year old girls, who have all the time in the world to sit in front of their computer and pine eternal about Clay's music. Perhaps when most of them grow up, they will realize what a waste of time this guy is. If you want to hear great music....listen to Iz Kamakawio'ole."
2,"Okay - I know the price is high and that's why it took me months to order this rice maker. I have now been using it for about a year and it is one of the best purchases I ever made - worth every penny! It has perfectly cooked everything I have tried (my fav = sticky rice), long grain, short grain, brown, white, sweet, even oatmeal. I use it several times a week and have never had a problem. It still looks and works like the day I bought it. It plays charming little songs to signal the start and end of the program and keeps the rice hot and moist for hours. One tip - don't place the top plate in the dishwasher. I ignored the instructions and put it is the dishwasher - it still works, but it is discolored."
2,This is a great CD and all I can say is that if you're a fan of the first album....you have to get this one.
2,This is a classic CD set...I will keep forever and pass on to my kids. Love it!!!!
2,"Mr. Jensen has saved me and other teachers the time of gathering together the latest information about the brain, learning and so much more! He has made all this scholarly research accessible and fun to read. I wish the deadwood at my school would at least read this book but I hope they would also use the great ideas in it, too, for the students' sake!"
1,My costume was a small and didn't fit my 5 year old wayyyy to tight and it dd t come with the belt!!!
2,"This 4x memory card has 492 pages of memory. The only drawback is that you select the active page with two slide switches. Not bad if you understand binary, but a little hard for 7 year olds."
2,"This Cd contains every track you hear in the video game. If you liked the game, you'll love this cd, just to hear it is like playing the game all over again. A MUST HAVE FOR ZELDA FANS."
1,"I find it very unfortunate that I wasted my money on this book when I could have read the entire story on the Internet. Of course, the story is out of copyright, and you'll find it all over the Internet, in complete.Don't waste your money like I did. Even worse, I never even read the book.My rating is only on the size of the book, because like I said, I never read it, and I am forced to issue a rating (I only wanted to enter a comment)."
1,"Watching this, you just KNOW that important bits were edited out to protect the current reputation of Ms. Hurley. The ending just comes out of left field - adding to the impression that something was taken out. There are hints of a more than sisterly relationship between the two female leads but not enough to shore up the finale. The only saving grace is the price is right!"
2,"...like me! Well, I like that my teenage son is having fun. All the other reviewers seem to have 10 year old sons. This really looks like you could make a good simulation of an industrial plant. But not with the manual they give you. They give you pictures of what an ice cream factory or a plastics plant might look like--but no explanation at all why they are set up that way, or what is doing what. Too bad; there is a lot of untapped potential here.It was fun to see the same old girders like the girder and panel set I had decades ago. Except now the girders are black instead of red. The plastic seems less brittle than I remember, so there is less danger of the little pins breaking off.If your son or daughter has any inclination of going into chemical engineering, this is just the thing!"
1,"Call me a philistine, but ""Candide"" did more to confuse than enlighten me. Yes, I know the story is deliberately far fetched, almost surreal, but it still failed to make an impact even when considering the work in this context. Absurdity can only travel so far.My sad but brief review is that ""Candide"" is less meaningful today that it was at the time of its writing. No, I have not found the meaning of life but nor has Voltaire."
1,I have been playing video hockey games since my Commodore 64 days and this is one very over-rated game! I thought I had bought the wrong game when I started playing. Even NHL Face-off is better than NHL 2k3. The graphics are only average and the controls are horrible. It feels like the players are skating in sand. The replays are ok but this game doesn't even have a create-a-player option. Sega should stick to football and basketball. Sorry Sega but I miss your Genesis games!
2,"Well my previous review for this card was not good. But I just built a new, faster computer and put the Radeon to the test again. My new system is as follows: Tyan Trinity 510 MB(using the current via 4-in-1 drivers), Pent-4 1.8ghz(478 pin), Radeon 8500 of course, 256meg ddr pc2100 ram, WD 20 gig 7200 rpm hd, soundblaster pci 512 sound, antec full tower case w/300watt p/s, and the standard cd, ups, etc. My cooling of the system is provided by 1 cool slot fan, 3 80mm fans, and one pci slot exhaust fan under the radeon. After upgrading to this system and reinstalling the radeon with the current 6071 drivers I have a new found love for this card. Serious Sam SE plays like a dream and actually looks better than my GF4 MX card! Aliens vs. Predator 2-ditto. Word of advice, this card was designed for faster systems(1ghz and up) with the motherboards supporting 4x agp and fast writes. I think the new drivers ATI put out recently has helped also. Worth the money-now that is."
2,I love pampers diapers. I have two boys and have used pampers almost exclusively. They have fantastic leak protection and fit my boys better than other brands.
2,"An extremely helpful gem on a complex subject of second century religious authority and textual use. For anyone serious about this period and the interelation of cultures, this book is essential. Is it complex and detailed? Of course, it must be to argue the point. Should you buy it? Yes, unless you want to keep running back to the library. I write this only after thoroughly disagreeing with the review above."
1,"Not good suction...It won't stay on the window...The temperature changes cause it to pop off, so it really is useless."
2,My friend is a master carpenter and he saw this book at a recent trip to Hanford Mills museum.He is an avid reader and loved the book so much that I am inclined to read it as well!! Enjoy.
1,I never ordered this book so I can't possibly review it. I'm at a loss to understand how I'm connected to this title since I have never used the Kindle.
1,"Good fun movies and nice compilation but... Spiderman 2 and 3 do not offer any audio or subtitles in spanish. If like myself you need them, then don't buy this version. Look for each one individually for a version that has at least subtitles."
1,"The product states that inches will be removed after 30 days of use and I have worn this item everyday for at least 12 hrs per day and I have not seen any kind of difference.For the price of the item, it is disappointing when it advertises and does not comply."
1,"During the first chapter of the book. It hooks you right away. From the moment the characters arrive at the barn it declines. If you have ever seen ""Pinky and the Brain"" these are the characters. Except Lennie is more stupid than Pinky! My two year old cousin has more common sense than Lennie. The book is highly illogical."
1,"I got this product in April and exactly two months later it said my subscription had expired and I needed to renew in order to keep receiving updates for antivirus protection.I wrote to the company and a week later they sent me a reply. The reply was to go to their update center and to renew. I sure wasn't going to pay again for something I only had for two months and its suppose to last for a year.I'll be going back to my trusted Norton Antivirus, it may be slow but at least I only have to buy it once a year."
2,"I used it for a week and half and it seem to work as described. I don't know how well its going to work for over a long period of time, but it is cheap so it probably wouldn't last that long. No leakage of air or anything yet. It was the right size for me and I am 5'2, it might be small if your over 6' I'd imagine. Anyways, I recommend it to people who are looking for a temporary place to sleep."
2,"I got this album for 99 cents in a thrift store, and it's the greatest deal I've ever come across. the album sounds absolutely amazing. there are so many nuances that you just don't get with the CD. Id listen to it over and over. I'm in love with this album. Each track is amazing."
1,"My 2 and 1/2 year old loves Bob, so he played with this for a little while. Tired of it quickly, as the magnets are not strong enough to hold blocks together to have any real pretend play. Seriously, every time he tries to open the door for Bob, the whole house falls down. The blocks are so light weight that his wooden block set is more fun to build a house with. Buy the Bob the Builder lego set and stay away from this set!"
1,"This movie must have been made as a pilot for the series that followed. This would explain the lack of wit and social commentary as well as the toning down of the violence. This movie had a serious continuity problem. Nobody seems to have noticed that in the first two movies Robocop had a son, yet in the 3rd movie during the flashbacks he had a daughter. This was truly a bad sequel."
1,"I had my Creative Zen Vision for all of about 3 hours. Having previously owned a 20GB Creative Zen Portable Media Center and being completely unsatisfied with it I was really hoping that Creative had gone the extra mile and learned from their past effort. Well, 3 hours into things I discovered they did a few things right but one thing horribly wrong. The screen quality is just plain awful. If people are finding a decent angle at which to hold their's then that's great, I couldn't find one at all. You'll spend more time fidgeting, trying to find an optimum angle than you'll ever spend actually enjoying a movie on the thing. It's simply a cheap lousy screen.The rest of the unit is fine. The construction is solid, the interface very easy to use (though the included software isn't all that great), and even the sound is pretty good - but let's face it, we buy these things to watch movies on and if they can't handle that then what good are they?"
2,A writing style that was prevalant in its time. Very much the boys adventure style with the hero being the best at everything. A real pleasure to read a simple direct adventure yarn.
2,"This work is an exhaustive study of the Luftwaffe's inventory from 1931 - 1945. Naturally the famous are here: Ju87, Me109/110/262, Fw190, He111/162, but the obscure as well: the Bv40 Interceptor Glider(!), the asymmetric Bv141 observation aircraft, and the He100 fighter. The entries (with drawings or photographs) of these one-off variants and technological near-misses make the volume worth owning. Over 150 fixed-wing aircraft, gliders and helicopters are combined with an excellent overview of the Luftwaffe from creation to destruction. Additionally, appendices contain the Luftwaffe's chain of command, and a glossary of Luftwaffe-speak.If you are a student of WW2, and particularly the airwar, then you should definitely try to pick up a copy. Highly recommended."
2,"The Bad Boys of Hollywood as you have never seen them before.This special breed lit up the screen with blockbuster films and their private lives did not pale in comparison.A gossip gourmets delight!Newly discover footage that will spotlight these lovable rogues as they lived out our fantasies.Marlon, Brando, Errol Flynn, Robert Mitchum, Dennis Hopper, Jack Nicholson, James Dean, Sean Penn, Steve McQueen, John Bulusi are all here!"
2,I read Disturb not the dream maybe fifteen years ago. When I saw Amazon book search it was the first thing that came to mind. Definetly the best scary book ever once you start you just cant stop
2,"In 1985,Heart made their Capitol Records debut with their self-titled album. The band themselves debuted in 1976 on Epic. They were dropped from Epic in 1983,following the release of PASSIONWORKS. Bass guitarist Mark Andes was a member of the disbanded Firefall,whose hits included JUST REMEMBER I LOVE YOU and YOU ARE THE WOMAN. Now for the songs:WHAT ABOUT LOVE is a hard-rocker featuring Starship's Grace Slick on background vocals. IF LOOKS COULD KILL was a minor hit. NEVER is another hard-rocker. THESE DREAMS is considered adult comtemporary. NOTHING AT ALL sounds cool. All the other songs are very good."
1,These bra inserts are very stiff and tend toslip out of place on your shoulder----they arerather heavy/bulky and more uncomfortable thanhaving a bra strap dig into you! I have sincefound lightweight ones that stay in place allday and were $1.99 a pair--(commonlyfound in the lingerie sections of most dept.stores).
1,"I cannot believe that this book has won awards. I like certain passages; Ms. Scott's imagery is often good and the ""mood"" is earthy and dark. However, overall it was disappointing. I just finished it and I could hardly wait to put it down and move onto something more interesting. Ms. Scott desperately tries to make her characters more than cardboard cutouts, but she never manages to succeed. I found myself not caring about the fate of any of these people or the house they lived in (which is really the main ""character"" of the book).The author has mastery of language but the story, like the mounted animals in the book, is merely the pretty arrangement of skin with no guts inside. No life."
1,"I guess i should have done more research before i bought this. I enjoy the transformers franchise and even though i feel like the 2nd and 3rd movie will never live up to the quality of the 1st I enjoyed this one enough to decide to buy this bluray/dvd hoping that the blu ray format and additional special features would keep me entertained. Well when you put the movie in you are treated to; the movie, different audio languages, and nothing no commentary, behind the scenes, deleted scenes,etc.......If you want nothing but a movie buy it off itunes or something, I'd recommend getting the other special edition version that i learned about after I already bought this one"
1,"I am not able to say that Erich Fromm's book The Art of Loving really is about the art of loving. The only important message I was able to digest is that loving is something you do, not something which happens to you. I do not follow how this book could be labeled as practical when it does not really contain any program at all, rather, it contains a lot of unwarranted criticism of modern society.The book contains many easy to disprove statements. Also, Fromm does not bother to explain how he came to his conclusions - it's like a mathematical textbook that contains theorems and claims without any proofs or defitions. In other words, there are not many lines of reasoning to be found. All in all, I am disappointed with the quality of Fromm's thinking."
2,This toy is so cool its the best toy I have ever had and i'm 11I think evryone should get one so there would be alot of kids you could battle with
1,"hmmm...just think....Noel, a brilliant man, maKING A CD that is just crap. What happened!!!!! I can't believe it....over played solos....awful lryics!!!!! Just when you think they could make another brilliant album, they make a crappy album. Haaa...just think.... 4 yrs ago Blur was being called the has beens because Oasis brokoe the US but blur did not. Well....who are the has beens now??? Well Oasis... all I cam say is RETIRE!!!! Geesh, for Beatle wanna bees, I would expect better."
2,"This stuff is amazing! I apply it a bit more liberally than they recommend and I always use Sassy disposal bags for the dirty diapers, but this spray is a lifesaver...especially if you are out & about. It can save you much embarrassment. Our baby has a partial intestinal blockage, which makes her diapers smell like something caustic and this spray even masks that!! We keep a small bottle in the diaper bag and a large one at both changing tables."
1,It doesn't cooperate and isn't very user friendly. It feels like it takes forever of shaking until it finally finds a virus for you to fight. Very annoying...especially when mom is fussing at me to stop shaking it.
1,"Don't get me wrong, I believe in UFOs and certainly Mothman, since my friend's aunt saw it, but 90% of this ""nonfiction"" book is nonsense. Keel's semi-acurate listing of the real life mystery of Mothman wins it a single star, but the speculation that he pushes as the gospel truth is laughable, and is mostly based on questionable facts and ideas that are theoretical at best. If you want to know about Mothman read James Cohen's Book of Mysterious Beasts, if you want to waste your time and Amazon's time, buy The Mothman Prophecies."
1,"As a keyboard protector, it works fine.Unfortunately, the material seems to interact with the LCD display to leave marks.It has stained my screen with rectangles (one from each protected keycap).Water does not completely remove the marks on the screen - they appear to bepermanent."
1,"I gave this product as a ""special"" gift to my wife for Christmas, She just loved it for the first 2 times of use, except we had to make sure the kids were asleep because it is loud. Now it just spins away, but no vibrations. She will still use it on occasions, it can still get the job done, but for the money I payed it didn't last near long enough."
2,"Brilliant. If you have not read this book, read it. If you can only read one book your entire life, make it this one. It is the masterpeice of the modern era from the man I would consider its finest writer."
1,"This fan is junk! The high speed didn't work to start, the lights don't shut off completly, which drains the battery, now it doesn't work at all! This is all only after 1 day of use!"
1,"In this book, Davy does something bad and has to make amends for it before his mother gives him a loving hug.As a mother trying to teach love and forgiveness to my young son, I was horrified at the moral of withholding love from a child to ""teach"" a lesson. The book is off our reading list and in the trash can."
