,review,post_date,useful
10,"Most Animals in Modern RPGs: ▫ [Player]: *clicks cat* ▫ [Cat]: *meow sound* ▫ *end dialogue* Divinity: Original Sin 2: ▫ [Player with Pet Pal skill]: *clicks cat* ▫ [Narrator]: As you approach a stray cat, it looks up to you with its pupils thin as a needle... ▫ [Cat]: 'TIS A TERRIBLE DAY, INNIT? ▫ *shows dialogue options* Divinity: Original Sin 2 has reached new heights of what it is to be expected on huge Indie Games. Made by Larian Studios, it was able to level with AAA games that it even surpasses the standards, regardless of its flaws. You'll play as your own character in the story, and embark on a journey towards the world of Rivellon as you find the answer to the cause of the Void's awakening. You could also play as one of the six main characters with their own unique story if character creation is not your thing. Also, quicksaving before doing anything else is a must. Talk to someone, quicksave first. Interacting an item, quicksave first. Opening a door, quicksave. After an autosave, quicksave. The game is very similar to its previous title, (DOS1). There may be changes, but there's nothing too drastic as far as I've observed. (👍 = Good, 👌 = ok, 👎 = Bad) (Maximum of 1.0 per issue) ❌ Visual Bugs ( - 0.20 ) ❌ Gameplay Bugs ( - 0.05 ) NOTE: Can be fixed by reloading a save is obviously not for everyone to love. It's neither an Action RPG like Diablo that the majority wanted nor a hardcore RPG like Baldur's Gate. It's definitely not for those who hates reading a lot of texts as well. I would recommend this to anyone who, for once, has played and liked turn-based games because this one's the best of the genre as I'm writing this review.",February 16,"179 people found this review helpful
25 people found this review funny"
11,"After hitting over 400 hours in Divinity: Original Sin 2, I feel like I can finally review it in full depth. The game is spectacular. It was everything I wanted from Original Sin and then more. The quests are in-depth, and you feel the consequences of your character/race choices on top of the dialogue you pick. I've played four full playthroughs, and each one I was still finding things I had missed (and I'm sure I will find more in my next one). The story is just fantastic, I couldn't ask for more from a storyline. The game makes you want to read every little lore book and just learn more and more about anything and everything going on. And if you're an Original Sin fan, there's little pieces of lore left around everywhere for you to prick your ears up at and get excited about (and then some!). Then there's the combat. It's fantastic. It's incredibly strategic in every aspect. Your first playthrough on Tactician will give you some good laughs at some of the difficulty you need to face and work around (this is a good thing! My boyfriend and I faced some extremely hilarious moments of trying to figure out a fight and failing miserably when we were learning the game, it was amazing fun). And then you enter the realm of searching out perfect gear, perfect min-maxing, perfect stats, and perfect combat. That, in itself, is the most enjoyable aspect of the combat in Divinity: Original Sin 2. You can hop from easier combat to the most intense combat the game offers, and it's all fun. I recently finished my solo Honour Mode, and it was definitely hard and an adventure and left me sitting during quite a few fights thinking out beforehand how I was going to handle them because even the smallest mistake can mess you up. I can go on and on about how amazing the combat is, but you really just need to delve into it yourself to truly see how remarkable it is. I can't find anything I enjoy as much as D:OS2's combat system anywhere else. If you're looking for a game to literally lose yourself in for long periods of time, or to even play casually in your free time, this is definitely my go-to. This is just a masterpiece of a game, it's every fantasy and rpg player's dream come true. And did I mention the co-op is incredibly fun? Really, it's just a stunning piece of art. Now, I have a great many pros for D:OS2, but I do have a few cons, and these are entirely subjective, and my own personal opinion. I really don't enjoy the four-man party system. For someone like me, it's way too overwhelming managing four characters at all times, and I just don't like it. Because some best in slot gear pieces are unique and you won't find ANYTHING else with their bonuses on in the game (Second Skin, ihu), you're just sacrificing too much playing a full four-man. But that's from a min-maxing perspective, and probably not that important to others. The second part of why I don't like the four-man parties is because once you get a taste of the solid power of a Lone Wolf character, you really can't ever go back. Now this can be a good or bad thing. It gives the game a lot of replayable value, I'm about to hit my 5th playthrough and I'm finally needing to stray away from my babe Sebille ( ): ), which pushes me to pick other players to experience their stories. With all that being said, this is definitely a game I recommend anyone to buy. It's amazing in every aspect. I absolutely cannot wait until the Definitive Edition either. And big, big props to Larian Studios for their choice to give the buyers of D:OS2 the Definitive Edition for free. Incredible company who listens to their audience. I can't wait to see what future games come!",June 25,"104 people found this review helpful
9 people found this review funny"
12,"I cannot recommend this game enough. It is an RPG that breaks the boundaries of what you perceive an RPG to be. Every problem or puzzle has what feels like more solutions than you can conceive of. Original Sin 2 rewards clever thinking, tactics, and the role-playing itself over all else. Stat building and creating the ""perfect character"" is always a fun aspect of CRPGs but I'd say it's not the main focus here. Don't get me wrong, there are tons of numbers and plenty to min-max, but at the end of the day, it doesn't matter how much damage you do if you're not in combat, and the game truly shines when you can avoid it. Don't get me wrong, the combat in this game is fantastic. You can control all of your (up to 4) party members individually outside of combat and prepare the upcoming battlefield to your liking assuming you have the drop on your opponents. Place your archers up top, give your wizards ample space, have clean terrain for your warriors, e.t.c. However, when you find yourself able to circumvent combat, you'll be rewarded with a level of satisfaction very rare in games these days. It constantly feels like Original Sin 2 almost dares you to break the game's boundaries. It challenges you to out-think the developers. Everything matters in this game. I'll leave you with an anecdote: As I explored, searching for a quest target, I came upon a ruin. I saw a passage through, but in between it and myself were a few foes I was most certainly not equipped to handle at my current level. In other games I'd probably have left and came back later when I was a higher level, but not here. I navigated around the edges of the NPCs' detection radius in stealth with each of my characters individually until I found a minuscule spot I could teleport to that would get me past my foes. It was certainly inconvenient, but it worked - I painstakingly teleported each of my characters in turn to that one spot only to realize the one doing the teleporting was stuck below; the one casting the spell is unable to use it on themselves. After some hard thought I realized I could place the teleportation artifact close enough for my previously transported characters to grab. I then used it to pull my last hero past the baddies. I exhaled a sigh of relief and then panned the camera to see I had just come face-to-face with the very character I had been trying to track down. I was positively oozing with smugness.",June 3,"139 people found this review helpful
15 people found this review funny"
13,>I don't like turn-based games >this is the best game I have ever played,"October 17, 2017","144 people found this review helpful
28 people found this review funny"
14,"EARLY ACCESS REVIEW I know it's blasphemy to say it... But this is easily on-par, already, with old classics like Baldur's Gate. I think it actually surpasses them. The freedom is (even) better, the atmosphere, the character-building, the amazing replayability, everything. It's significantly better than the first, which I found enjoyable but didn't fall in love with. It had so much potential, but never really seemed to get there. This gets there - right away. It's that good.","May 28, 2017","173 people found this review helpful
3 people found this review funny"
15,"As an avid CRPG and Tabletop RPG player, Divinity OS 2 is the most fun I've had in a long time Pros: - TONS of roleplaying freedom and variety - Companions/ NPCs are interesting and diverse (playing as an origins character also adds even more depth) - Writing and story is quite good (Larian Studios have join the ranks of RPG storytellers such as Obsidian) - More mature story compaired to D:OS1 - Traditional Journal style quest tracker rather than modern ""map-markers"" - Freedom to approach objectives with your own methods - Lots of exploration - Actions have consequences and not afraid to punish you for them - Co-op is implemented nicely - Visuals quite good - Comfy music Cons: - Quest bugs (journal not updating) - Magic still seems to dominate - There are several fights that can come down to who can cheese the hardest (especially on higher difficulties) - Balancing on skills could use some work Sidenote: - Armor changes are hit or miss for some people, probs either hate it or like it","September 17, 2017","169 people found this review helpful
7 people found this review funny"
16,"Never played the first one, I hate turn-based combat and I bought this because I figured if I am going to ever like a game like this it will be this one. I installed the game and played almost 8 hours with only a couple breaks in between. I always found turn based games to be boring and somehow this one kept my attention. The way spells and combat with your party work together is just amazing. It really opened my eyes and maybe once I am done with this one I will go back and play the first. Might do that now that there is a sale! The story is well done so far and writing is top notch. Graphics are nice and the world seems so alive. So many side quests I am still in the first area. Performance is great, I am getting solid FPS (between 80-120) all settings maxed out in 1440. The soundtrack is great as well. Being fully voiced probably saved me for this game, I love reading but I hate reading in games, not sure I would have loved this as much as I do if it hadnt been voiced. Voice acting is actually really good in this game. Really looking forward to sinking tons of time into this game. ZERO regrets.","September 14, 2017","216 people found this review helpful
5 people found this review funny"
17,"EARLY ACCESS REVIEW If more game developers had HALF the talent and attention to detail that Larian does, the market wouldn't be so saturated with garbage today. Larian is one of the best and the Divinity series proves it. By far one of the best RPGs I've ever played. KEEP IT UP.","August 12, 2017","788 people found this review helpful
17 people found this review funny"
18,"Simply put, Divinity: Original Sin 2 expands on the best ideas from the first game while taking a complete 180 in tone to deliver a much darker and adult experience compared to the first. One of the most notable changes is immediately realized as character creation begins, with races, tags, origin stories, and a complete stat revamp giving a new level of depth to character creation. The origin story presets, while not customizable, deliver a unique experience for each. All of the notable ""origin story"" characters have interactions with each other, and even if you choose not to create them yourself, they can be found and interacted with around the world. Not only this, but you can recruit these important figures of the lore. Origin stories on the surface level seem gimmicky, but allow for a whole new level of replayability, in combination with the tag system. The tag system allows you to acquire new tags that effect quests and dialogue as you progress through the game, or assign them to your custom character in character creation. ""Origin story"" characters will have these tags preset, as well as a brief synopsis of their lore. However, the changes aren't just to the character creation. As soon as you get into combat, you'll quickly notice how much has changed. While Divinity: Original Sin 2 keeps the basics of the first game intact, action points have recieved a complete overhaul, streamlining the process of choosing actions. While the new system (6 action points total; 4 action points at the start of encounter. Most skills cost 1-2 action points) may seem to cater to a more casual audience at first, the new skills that accompany this revamp allow for a level of complexity in combat never before seen in the Divinity series. New skills introduced in the second game are more ambitious, creative, and innovative than any in the first game. Even from the start of the game, you'll acquire interesting abilities that you can use to control the battlefield. The new targeting system provided in D:OS2 gives a sense of clarity lacking in the first game. Height advantages and disadvantages means that positioning matters now more than ever before. In addition to the ""surfaces"" system of the first game (fire, poison, poison clouds, static clouds, electrified water, etc), most of these surfaces can now be blessed and cursed for interesting variations and choice in combat. For example, while fire is harmful to your team, if you bless it, it'll apply a heal every turn and prevent the members within from being frozen. The campaign here is of absolutely astounding quality and length - my first full playthrough of the game took roughly 80 hours, even without dozens of sidequests. No matter your choice of origin character or custom, you'll find the campaign to be deeply satisfying. However, as noted by the developers, you are meant to play with the origin story characters - and it shows. Each origin character has at least half a dozen unique encounters. While the game is still engaging if you're playing as a custom character, the origin stories really do allow for a better capacity for role playing and it's interaction in the game world. For the Steam Awards of 2016, this is my pick for the Most Astounding Game. The staggering amount of interactions in the game, even in alpha, can be overwhelming. Divinity: Original Sin 2 could very well shape up to be Game of the Year 2017 for me.","September 15, 2016","253 people found this review helpful
2 people found this review funny"
19,"I'm 72 years old and these have been the best 20 hours of my life. EDIT:: After playing through the game multiple times, including finishing it on Honour Mode, I have to say that my opinion of this game is even higher than it was after those first 20 hours. After finishing this game, it feels like my life is complete and there's nothing left to live for. This may be the last game I ever play and review I ever write. I would like to thank Larian for filling a void that has been plaguing me for more than half a century. I found the main story as well as every single side quest/story to be fun and interesting. There are no boring fetch quests as far as I can tell. How you handle side quests and whether you complete them or not 'does' affect the ending; as such, they could be considered extensions of the main story. (You could be unsatisfied with the ending if you just rush through and skip things.) You can build your characters any way you see fit and almost any build is completely viable. If you don't like the way you built your characters, just wait until you complete Act 1 and you can rebuild them any way you want as frequently as you want all the way up to the very end of the game; this is very good for testing new things out. By the end of the game my main character was a fire breathing Geo/Pyro battle mage that wielded a fire staff, used Warfare skills and showered my enemies in meteors with some necromancy for physical damage in case the enemy had too much resistance to those elements; she was pretty godly. I plan on trying a solo Honour mode run next with a similar but more diverse build. (I love the lizards!) For me, the best part of this game is the combat. It's extremely well done and very fun. I can't really say any more than what the other reviews cover though. Just know that if a fight seems absolutely impossible, that it really isn't. I've gone into fights where half my party was annihilated before I got to do anything, yet I still emerged victorious. There's always a way to win even if the enemy has you outnumbered and outleveled; just gotta think! Like many reviews state, there are still some bugs. As far as I can tell, they are all minor. After multiple play throughs on multiple difficulties I have not experienced any major bugs. Nothing game breaking and nothing that really affected my gameplay much. The few bugs I've experienced: - Many unvoiced lines in Arx. - Incorrect journal entries. - Sometimes a character would act blind in combat even though they weren't (could't use any ranged skills, couldn't see around themselves, but this was rare and only lasted a single turn.) - Sometimes the enemy AI would derp out and they'd just run around or repeatedly climb up and down a ladder until they were out of AP. - Custom undead characters do not receive the appropriate immunities, such as bleeding and suffocation. (though I don't recall any of my characters ever being afflicted with Bleed...) (Fane does receive these immunities) - Undead afflicted with Decay will not attempt to avoid poison puddles (Not sure if this is a bug or an oversight). - Altitude does not affect many player or enemy melee attacks. (Entities 10+ meters above can be struck with melee.) But it does affect some skills, such as Dragon's Blaze, Laser Ray, charging skills, Battle Stomp, etc. ... I think that's about it. I'll add more if I remember them. Some reviews complain about enemies being omniscient and knowing all of your strengths and weaknesses (including whether you're undead or not), which is true, but it's also true for players. Any player with Loremaster on one of their characters can examine any NPC or enemy to gain insight into their strengths and weaknesses. Only one of your characters needs Loremaster. If you examine with someone that doesn't have it, they use the skill level of whoever does, even if that person is dead. (This even works on the final boss, at no point in the game is it unfair that enemies can spot your weaknesses.) So in summary, very fun game, great character customization, great combat, good story, a few minor bugs. It can be challenging in some scenarios but it's supposed to be; that's at least half the fun. I could mention the poor inventory management but countless reviews already cover that. Tip: Carry a couple pieces of +Thievery and +Loremaster gear with you to make sure you can pick any lock and identify any item. There may be times when your base skill isn't sufficient. TL;DR: Recommended, as shown above. 10/10 on the Completely Subjective, Arbitrary and Useless rating system.","September 19, 2017","2,141 people found this review helpful
827 people found this review funny"
20,"This is without a doubt one of the best RPGs I have ever played and after completing it I can honestly say it has secured its place among my top favorite games of all time. When beginning the game you have the option of creating your own character or choosing from one of several premade characters, each with their own unique backstories and questlines. I highly recommend going this route as these characters and their quests are very well written and interesting. I found myself extremely invested in my main character (Lohse) and what would become of her and her companions. It's also really interesting witnessing the members of your party, each with their own motivations and biases, try to work together while also clashing as they look out for their own best interests. Each character is so well written and perfectly voice acted that it really helped make what is already such an immersive game feel even more alive. The dialogue is great, whether it be the main characters or random NPCs, it really feels like everyone has their own unique personality. The gameplay is incredibly fun, and I really can't think of the last time I had such a hard time putting down a game. You are given a lot of freedom, leaving it entirely up to you how you choose to progress throughout the world. There are often numerous ways to complete one task, depending on just how creative or good/evil you want to be. To add to this, the choices you make actually have consequences, and sometimes the line between what is right and what is wrong might not be so clear. So you will sometimes find that a decision you made might come back to haunt you in one way or another. I loved this and it was really cool seeing how some of the choices I made previously came to have a much wider impact than I had originally imagined. The turn-based combat system is really well done and there are lots of ways in which you can get creative and use the environment to your advantage. Each battle is well designed and interesting, with each type of enemy presenting their own unique strengths and weaknesses. You have to really put some thought into exactly how you design your group, providing for a nice amount of strategy both in and out of battle. If you find that you have messed up your build there is an option to respec, something which I think most of us can appreciate for its ability to save us a lot of wasted time. It is also worth mentioning that there are quite a few options as far as difficulty. I did my first playthrough on Classic, which is the default difficulty, and found it to be perfect for me. There were a few fights which I struggled on, but anytime I faced such a roadblock I found that all I needed to achieve victory was to simply reevaluate my strategy. Personally I love just how rewarding of a feeling this can be, and I look forward to doing future playthrough on the harder difficulties. However if you're someone who is looking for less of a hassle, you will be happy to find that the lower difficulty, Explorer, will allow you to simply enjoy the ride without any frustration. The quests are extremely fun and varied, some of which require solving puzzles, riddles, or getting a bit more creative with your abilities and items. One thing I really loved about the quest system is that it doesn't hold your hand, meaning that unlike some RPGs that basically give you a GPS tracker showing you exactly where you need to go, this game tends to just point you in a general direction and expect you to figure it out on your own. Now if this is offputting to you, please know I am speaking as someone with a truly awful sense of direction. I had a ton of fun with this and found that getting lost while trying to find where I needed to go to next provided for some of my favorite moments. Some of the random encounters you come across as you explore are the most surprising and rewarding experiences in the game. The attention to detail is truly incredible and the world really feels so alive. Even areas that at first glance appear to be devoid of life might have something hidden. Especially with the pet pal ability, which allows you to talk to animals, or spirit vision which allows you to see/speak to ghosts, you'll find that if you look close enough there is no shortage of things to be seen or done. And to top this all off the soundtrack is incredible, providing the perfect music to accompany you on what is truly an epic journey. The universe that Larian have built here is absolutely astounding and they managed to pack so much into this game that it's honestly a bit overwhelming at times. Between all of the characters and their questlines, the decisions you have to make throughout the game, and the sheer size of the world, it's truly impossible to take it all in on just one run. Speaking as someone who rarely plays games a second time, I'm already gearing up for my second trip into Divinity Original Sin 2 and imagine I'll be making even more eventually. Now that I've ranted and raved about just how much I adore this game I must point out really the only negative thing I have to say about it, and that is just how buggy it can be. During the course of my 111 hour playthrough I ran into a number of bugs, ranging from mildly annoying to gamebreaking. The biggest one, of course, being the gamebreaking bug which made it impossible for me to enter into a room you need to use to begin the final quest. In order to get around this I had to get a bit creative and basically stack items until I could get one of my characters to glitch into said room, then allowing the rest of my party to teleport to me. While I am obviously pleased that I was able to get past this annoying bug, I can't help but be frustrated that such a problem would even exist in the first place. For as much as I love this game some of the bugs I faced really took away from my overall enjoyment and I truly hope Larian will patch them as soon as possible. Of course I'm sure there are those who played the game without facing bugs, but it doesn't change the fact that I was unfortunate enough to encounter them and that some of you might as well. Overall I truly love this game and believe it deserves all of the praise it is getting. As I mentioned, my one and only complaint are some of the bugs I encountered. While frustrating, such issues can easily be fixed through a patch. And it does speak to just how captivating I found this game to be that I continued to press on despite these issues. There is absolutely no denying that this was a game crafted with a lot of love, and so I have complete faith that Larian will continue to be very active in it post release. If you're on the fence than I suggest you wait a bit to buy, but I imagine it won't take long for these issues to be fixed. For 45 Euro I managed to get one of the most amazing gaming experiences I have ever had and I encourage everyone who is interested to give it a try. This game is a masterpiece, plain and simple.","October 21, 2017","152 people found this review helpful
4 people found this review funny"
21,"Hands down one of the best CRPGs in recent history. I'm willing to say I liked this even more than Pillars of Eternity, and I'm a Infinity Engine RPG nut. It's a bit different than your classic CRPG, the main story doesn't seem that extraordinary, but it grows on you. It's not what makes the game good. The journey is. - You have multiple ways to achieve things. Want to steal a chest without being seen? Teleport it away from affar. Want to blow up a door but it has too much HP? Blow it up with an explosive barrel. Want to escape a keep of evil clerics? Well I'll let you figure that one out for yourself, you'll have many ways to chose from. - The voice acting is great considering how little budget they had compared to triple A companies. - Every NPC has something to say. - The writting is just right, and very immersive. - Remember the combat in Torment:Tides of Numenera? Wipe that nightmare out of your memory with the combat in this game. It's fun, complex and actually makes you look forward to battles. - Each companion is unique and complex. Great char development as well as you proggress. I could go on for ages. The bottom line is they have outdone themselves immensly with this game. Go buy it and support Larian so they can make more.","September 23, 2017","129 people found this review helpful
1 person found this review funny"
22,"As a former Black Isle designer I'm rather critical when it comes to games. I have very high expectations and I'm rarely satisfied with games today. It would be more appropriate to say that I've been 'content' with the games I play now and leave it at that. Well, that is not the case with Divinity: Original Sin 2. I'm quite envious of the fact that I was not involved with the design of this game. It has exceeded my expectations and provided me with many hours of gaming pleasure. I can only hope and pray that future sequels, please let there be more to come, are of equal or greater quality. Thank you Larian for the many hours of gaming pleasure I have received from this game. Please keep up the good work. My sincere compliments to you and your staff.",February 13,"224 people found this review helpful
10 people found this review funny"
