question,answer
the speed of life including the speed?,According to the Theory of Relativity it depends on you point of reference.
What color is water really?,"The absorption minimum for water is at 420 nm, well within the blue range of the visual spectrum. This means that that is the wavelength of light that it reflects the most. It does not reflect it very much, so small amounts appear transparent."
what bright planet is often mistaken for a UFO?,"Both murcery and jupiter are often mistaken for such an event.\n\nOn rare occasions during the clearnes of the night, saturn can be seen quite nicely and is oft mistaken by those using telescops."
What would be a better country to live in besides the United States?,UAE
is gas milage better in cold weather.does gas expand giving you more.?,"Gas mileage is usually worse in the cold weather. In the cold weather your tire pressure is lower and causes more friction with the ground. \n\nAlso the type of gasoline you put in your car is different in the summer and winter. Summer fuel is required to have a lower RVP, to mitigate evaporative emissions caused by higher temperatures. It is literally heavier, with more chemical bonds in the fuel molecules... more bonds to break = higher energy content = better MPG.\n\nAnd finally your car also faces more friction driving through cold air because the colder the air is the more dense it is."
why the sky is blue?,"The blue color of the sky is due to Rayleigh scattering. As light moves through the atmosphere, most of the longer wavelengths pass straight through. Little of the red, orange and yellow light is affected by the air.\n\nHowever, much of the shorter wavelength light is absorbed by the gas molecules. The absorbed blue light is then radiated in different directions. It gets scattered all around the sky. Whichever direction you look, some of this scattered blue light reaches you. Since you see the blue light from everywhere overhead, the sky looks blue."
what are my chances of waking up tomorrow with a democratic president?,"pretty good\nlike 50 %\nits only going to be a matter of time before all of usa hates bush, currently 80 % do."
What Does AAFES stand for?,Army and Air Force Exchange Service
why salt will be spread on snowy days?,"Contrary to popular belief, salt does not react with ice to make water. Instead, since salt can be soluble in water, it lowers the freezing point to about 0 degrees Farenheit. So as long as it is above 0 degrees outside, salt water won't freeze on the roads."
Who is the current president of south africa?,"Thabo Mbeki\n\nOn June 2, 1999, Mbeki, the pragmatic deputy president of South Africa and leader of the African National Congress, was elected president in a landslide, having already assumed many of Mandela's governing responsibilities shortly after Mandela won South Africa's first democratic election in 1994."
I have a New York State  IEP (Individualized Education Program) diploma. Can I be accepted into the Army?,"A diploma is a diploma. Even with IEP, you have graduated from high school."
Do you think the US will ever recover from bad foreign politics and regain some international respect again?,"Leadership has to change for that to start. Even then, it's going to be difficult."
Is space infinite?,"Here's the issue:  The finite mind has no hope of apprehending the infinite.  We can define space ""\n\nMathematics. A set of elements or points satisfying specified geometric postulates: non-Euclidean space. \nThe infinite extension of the three-dimensional region in which all matter exists. \n\nThe expanse in which the solar system, stars, and galaxies exist; the universe. \nThe region of this expanse beyond Earth's atmosphere. \n\nAn extent or expanse of a surface or three-dimensional area: Water covered a large space at the end of the valley. \nA blank or empty area: the spaces between words. \nAn area provided for a particular purpose: a parking space. \nReserved or available accommodation on a public transportation vehicle. \n\nA period or interval of time. \nA little while: Let's rest for a space. \nSufficient freedom from external pressure to develop or explore one's needs, interests, and individuality: “The need for personal space inevitably asserts itself” (Maggie Scarf). \nMusic. One of the intervals between the lines of a staff. \nPrinting. One of the blank pieces of type or other means used for separating words or characters. \nOne of the intervals during the telegraphic transmission of a message when the key is open or not in contact. \nBlank sections in printed material or broadcast time available for use by advertisers.""\n\nThis is a defineable term because the finite mind percieves it as a finite entity with physical properties.  Space has a potential to either be filled or be empty.  Infinity cannot be bounded thus because it is unboundable and therefor indefineable.  If you were to ask is the universe infinite one could only, thoughtfully, respond ""No"".  This conclusion will be arrived at when the respondant considers that the universe has a definition applied to it and therefore a value that can be discussed and modeled.  You can discuss what is out side the universe, when the universe was created, etc.  Not so with infinity.  Infinity, as best I can discuss it (which is not very well as I am a finite being), is simultaneously all things existing and all things never existing.  The base problem with my definition is that ""things"" and ""existence"" are finite concepts fitting within the bounds of perception.  Infinity must be something other than that.  Are you beginning to see the issues with a discussion of infinity?  Try this one, ""Infinity is all unthings non-existing"".  that's the closest I can get.  Give it a shot.  But recognize that anything within the perceivable physical reality isn't infinite."
Do animals see colours?,"It actually depends on the animal!\n\nThe eye consists of Rods and Cones.  Rods handle detail.  They are the most sensitive. That is why cats can see intricate detail, such as the predicted direction of the jumping of a mouse due to muscle twitches, than to if the mouse is white, black or orange.  Cones handle colors.\n\nSee the source for better definition\n\nOn a side note... visible light is just a small part of the electomagnetic spectrum.  Some animals can see infrared, but are blind to purples, while others cant see red, but see ultraviolet light!"
What really provoke cancer beside smoking?,"There are many carcinogens (cancer causing chemicals). The source below has a list. Besides chemicals, sun exposure, especially staying in the sun until burning is the leading cause of skin cancer. Chewing tobacco causes throat and mouth cancer. Exposure to radiation of a variety of sorts causes system-wide cancers. Human pappillomavirus causes cervical cancer.\n\nBeyond direct causes, there are many genetic predispositions that can make it more possible to have cancer. Basically, there are thousands of different things that can cause cancer. The site below has more information."
Why do I sneeze everytime i see a bright light?,It is caused when you go from dim light to very bright light and your pupils are not able to reduce in time to cope with this extra light. In order that this light wont burn your retinas your body forces your eyes closed by making you sneeze. This commonly happens when you go from your reasonably dark lit house out onto a sunny street or if you turn on your beside lamp in the dark.
Why have have we not been contacted by et's yet?,"Earth has become an exothermal radio planet only a little over a century ago. Anyone who might listen in will take some time to make any sense of the increased radio activity, then could answer the same way. So far we can be fairly sure that noone within some 50 lightyears has answered."
the number of x-ray reaching the film will be higher if the?,"Answer 3.\n\nThe number of x-ray events is directly dependent on the mA setting - each electron will cause an x-ray quant as it is decelerated.\n\nHigher kVp will make the x-rays more energetic, i.e. less likely to interact with light elements on their way to the film.\n\nLow atomic number means that only softer radiation can be absorbed by the atom, creating less of a white shadow on the film."
What are the goofy laws in oklahoma for?,"I'm not from Oklahoma but I can tell you that most goofy laws were set forth due to someone actually committing something relating to them or someone complaining about a situation that happened simular to it.  In turn if they had enough power or knew someone in power, they were able to get the law passed.   \n\nAnother fact is that most bureaucrats will be able to get redicilious laws passed in order to have a particular business flourish.  A great example of this is the illegalization of marijuana.  It is sad but it does happen....\n\nIf you are interested in Oklahoma's nutty laws here is a list of them...you would be surprised that the other 49 states including other countries have just, if not more idiocy.......enjoy but at the same time cry.....\n\nRemember these are ACTUAL Laws!    \n\n:)\nPeace!\n--------------------------------------------------\nIt is illegal to have the hind legs of farm animals in your boots. \n\nDogs must have a permit signed by the mayor in order to congregate in groups of three or more on private property. \n\nIt is illegal to wear your boots to bed. \n\nFish may not be contained in fishbowls while on a public bus. \n\nTissues are not to be found in the back of one's car. \n\nOklahoma will not tolerate anyone taking a bite out of another's hamburger. \n\nNo one may spit on a sidewalk. \n\nFemales are forbidden from doing their own hair without being licensed by the state. \n\nCars must be tethered outside of public buildings. (Repealed) \n\nAnyone arrested for soliciting a hooker must have their name and picture shown on television. \n\nIt is against the law to read a comic book while operating a motor vehicle. \n\nWhaling is illegal. \n\nViolators can be fined, arrested or jailed for making ""ugly faces"" at a dog. \n\nTattoos are banned. \n\nResidents are taxed for the furniture in their homes, and any other personal belongings. (Repealed 1998) \n\nAda\nIf you wear New York Jets clothing, you may be put in jail. \n\nClinton \nMolesting an automobile is illegal. \n\nHawthahorne \nIt is unlawful to put any hypnotized person in a display window. \n\nOklahoma City \nNo one may walk backwards downtown while eating a hamburger. \n\nSchulter \nWomen may not gamble in the nude, in lingerie, or while wearing a towel. \n\nTulsa \nYou may not open a soda bottle without the supervision of a licensed engineer. \n\nElephants are not to be taken into the downtown area. \n\nWynona \nOne's mode of transportation must be tied up while not attended. \n\nMules may not drink out of bird baths. \n\nClothes may not be washed in bird baths. \n\nYukon \nIt is illegal to tie a horse in front of city hall. \n\nWhile passing another vehicle, you must honk your horn."
how did betelgeuse get it's name?,"The name Betelgeuse is a corruption of the Arabic ""yad al jauza,"" which means the ""hand of al-jauza,"" al-jauza the ancient Arabs' ""Central One,"" a mysterious woman.\nAnother theory is Betelguese and the related names derive from the Arabic phrase Ibt al Jauzah meaning ""The Armpit of the Central One"".  The designation Al Mankib means in Arabic ""The Shoulder"". \nSee second reference for diagram:"
what is 13 SEER energy mandate?,"There’s a New Minimum Efficiency Standard for 2006\nLike many consumer products that use energy, air conditioners and heat pumps are manufactured to meet or exceed minimum efficiency standards set by the U.S. Department of Energy. For nearly a decade, that minimum has been 10 SEER (Seasonal Energy Efficiency Ratio). On January 23, 2006, the minimum will jump to 13 SEER, a 30% increase over the current standard."
do emergency room doctors get paid a lot?,"ER docs get paid slightly above average in comparison to other doctors.  However, they work shorter hours than most physicians and generally do not have to take ""call"" (in other words, once they are off work, they are off work).  They do not have to know everything, if you are comparing to doctors in other fields.  (All physicians have to know a little about every field, but no doctor knows everything about every field).  They just need to know how to recognize a wide variety of conditions that present in the ER, and know when to refer a patient to a specialist.\n\nThis is not to downplay the level of knowledge that ER docs have in comparison to other physicians.  ER docs often do well in their medical school class.  But there are other fields that are more competitive and are generally paid more (such as neurosurgery, cardiothoracic surgery, and orthopedic surgery)\n\nIn general, doctors working in a hospital are not paid as well as doctors in private practice.  Many, many people are treated at the hospital without health insurance (it would be unethical to turn them away).  This leaves hospitals cramped for money, so other patients' bills go up and doctors salaries go down, despite what the general public may think.\n\nAlso, when people discuss physician salaries, they often forget to factor in malpractice insurance, which has bankrupt and put many doctors out of business.  ...and yet so many people still want to sue doctors because they think they earn a lot of money."
Do ID cards help or hinder fraudsters?,Until the card is regularly scanned along with biometric data or lets say a ring or implant\nI like ring\nbecause it doesnt raise organic complications\nwith 500MB of data on it\nyour personal database and the FBI's tºº
"If you are in a dark room with a candle, a wood stove and a gas lamp.?","The match, naturally"
Why do we stink when we sweat?,"Because of bacteria.\nBody odour is the smell of bacteria growing on the body. These bacteria multiply considerably in the presence of sweat, but sweat itself is almost totally odorless."
Should illegal immigrants have legal rights?,Just the right to be deported.
"what is the art of, skuldudgery?","It is the art of devious devices or tricks, and “dishonest, underhanded, unfair, or unscrupulous behavior"" or activities."
what does outer space consist of ?,Billions and billions of stars
Which was the worst earthquake to hit ever?,"There are, of course, different ways to define ""worst"". It could be the most property damage, most loss of life, most powerful at its focus (the actual origin of the quake), or most powerful at its epicenter (the place on the Earth directly above the focus).\n\nPrior to recent times, no one had accurate instruments to measure energy released in an earthquake, and no one kept accurate records of damage. The longer ago an earthquake occurred, and the less developed the area where it occurred, the less we know about it. Information regarding after shocks and duration is usually not available.\n\nGood sources for information are:\n\nhttp://wwwneic.cr.usgs.gov/neis/eqlists/eqsmosde/html or\nhttp://www.usgs.gov and click on “Earthquake.”\n\nAccording to them (the U.S. Geological Survey National Earthquake Information Center)\n\nMost Destructive Known Earthquakes on Record in the World\n                         (50,000 deaths or more)\n             (Listed in order of greatest number of deaths)\n\n\nDate               Location            Deaths    Mag    Comments\n\nJanuary 23, 1556   China, Shansi       830,000 \n\nOctober 11, 1737   India, Calcutta**   300,000\n\nJuly 27, 1976      China, Tangshan     255,000*  8.0\n\nAugust 9, 1138     Syria, Aleppo       230,000\n\nMay 22, 1927       China, near Xining  200,000   8.3  Large fractures.\n\nDecember 22, 856+  Iran, Damghan       200,000\n\nDecember 16, 1920  China, Gansu        200,000   8.6  Major fractures,\n                                                      landslides.\n\nMarch 23, 893+     Iran, Ardabil       150,000\n\nSeptember 1, 1923  Japan, Kwanto       143,000   8.3  Great Tokyo fire.\n\nOctober 5, 1948    USSR                110,000   7.3\n   (Turkmenistan, Ashgabat)\n\nDecember 28, 1908  Italy, Messina       70,000   7.5  Deaths from \n                                    to 100,000        earthquake and \n                                    (estimated)       tsunami.\n    \nSeptember, 1290    China, Chihli       100,000 \n\nNovember, 1667     Caucasia, Shemakha   80,000\n\nNovember 18, 1727  Iran, Tabriz         77,000\n\nNovember 1, 1755   Portugal, Lisbon     70,000   8.7  Great tsunami.\n\nDecember 25, 1932  China, Gansu         70,000   7.6\n\nMay 31, 1970       Peru                 66,000   7.8  $530,000 damage,\n                                                      great rock slide,\n                                                      floods.\n\n    1268           Asia Minor, Silicia  60,000\n\nJanuary 11, 1693   Italy, Sicily        60,000\n\nMay 30, 1935       Pakistan, Quetta     30,000   7.5  Quetta almost\n                                     to 60,000        completely destroyed.\n\nFebruary 4, 1783   Italy, Calabria      50,000\n\nJune 20, 1990      Iran                 50,000   7.7  Landslides.\n\n* Official casualty figure--estimated death toll as high as 655,000.\n+ Note that these dates are prior to 1000 AD.  No digit is missing.\n** Later research has shown that this was a typhoon, not an earthquake.\n   (Source: The 1737 Calcutta Earthquake and Cyclone Evaluated by \nRoger Bilham, BSSA, Vol. 84, No. 5, October 1994)\nData compiled from several sources.\nUnited States Geological Survey \nNational Earthquake Information Center"
Is the concept of spider-man real through our technology of genetic engineering and gene splicing?,"I don't think so.\n\nFor one thing, even if one could transfer the genetic materials correctly, there is no way a human could have the ""proportional strength of a spider"" or ant or anything like that. The physical nature of muscules will not scale up like that. The strongest one could get is, well, as strong as the strongest human, whoever that is.\n\nThe web material seems fictional as well. For one thing, what sort of glad (or tiny device) could generate so much material without either (1) lots of refills, (2) a huge tank."
Would the US constitution be changed if the admendment received 2/3 of the popular vote.?,"No.  Popular vote has nothing to do with it.\n\nThere are two methods:\n\nThe first method is for a bill to pass both halves of the legislature, by a two-thirds majority in each. Once the bill has passed both houses, it goes on to the states. This is the route taken by all current amendments. Because of some long outstanding amendments, such as the 27th, Congress will normally put a time limit (typically seven years) for the bill to be approved as an amendment (for example, see the 21st and 22nd).\n\nThe second method prescribed is for a Constitutional Convention to be called by two-thirds of the legislatures of the States, and for that Convention to propose one or more amendments. These amendments are then sent to the states to be approved by three-fourths of the legislatures or conventions. This route has never been taken, and there is discussion in political science circles about just how such a convention would be convened, and what kind of changes it would bring about."
what is the definition of vacuole?,"Vacuoles are membrane-bound sacs within the cytoplasm of a cell that function in several different ways. In mature plant cells, vacuoles tend to be very large and are extremely important in providing structural support, as well as serving functions such as storage, waste disposal, protection, and growth. Many plant cells have a large, single central vacuole that typically takes up most of the room in the cell (80 percent or more). Vacuoles in animal cells, however, tend to be much smaller, and are more commonly used to temporarily store materials or to transport substances."
How was it possible for scientists to determine that helium was present in the sun?,"Each gas has a unique set of spectral lines that serves as a spectroscopic fingerprint.  These lines, incidentally, are created through transitions of electrons from high energy states to low energy states; each transition has a unique amount of energy associated with it which translates to a photon of a particular wavelength.  Helium was discovered by subtracting out all the spectral absorption lines associated with known elements from the solar emmision spectrum, similar to the way an audio technician can enhance a vocal track by subtracting instrumental tracks one at a time.  Hope that helps!"
Why do we have to have war i mean seriously.?,"Hmm...well seeing as this question isn't specific to IRAQ (stupid other people in here...) I'd have to say that it is because of people who think that violence is the solution to everything. Unfortunately, there have always been and will always be these people in the world, whether we like it or not. Stupid violent tendencies..."
why is the sky blue?,"The blue color of the sky is due to Rayleigh scattering. As light moves through the atmosphere, most of the longer wavelengths pass straight through. Little of the red, orange and yellow light is affected by the air. \n\nHowever, much of the shorter wavelength light is absorbed by the gas molecules. The absorbed blue light is then radiated in different directions. It gets scattered all around the sky. Whichever direction you look, some of this scattered blue light reaches you. Since you see the blue light from everywhere overhead, the sky looks blue. \nAs you look closer to the horizon, the sky appears much paler in color. To reach you, the scattered blue light must pass through more air. Some of it gets scattered away again in other directions. Less blue light reaches your eyes. The color of the sky near the horizon appears paler or white."
Do you believe that it is possible that aliens (extra terrestrials) genetically engineered humans in a lab?,"I think that an advanced biotechnology might be able to copy the human model, but it would be a lot more complicated to genetically engineer and produce not only the humans but all the rest of the living organisms on earth.\n\nThink of it: if you wanted to colonize a planet, would you engineer a species like ours, or would you make adaptations to your own species?\n\nTerry Pratchett's novel ""Strata"" tells of world builders who create entire planets complete with faked pre-history. And spoofs the idea..."
"Why didn't Arnold, California's governor, not stop last night's execution?",Why should he....just because the guy is black and wrote a few childrens books and said he is reformed?  No...tookie started and organized one of americas most dangerous gangs that have killed thousands of people...even though he only killed 4 still doesnt make it right...AN EYE FOR AN EYE...tookie was found guilty in a court of law
is possible to travel through time??,"The answer is simple: we travel through time constantly.  Is it possible to travel backwards?  Science does not currently know the answer. Travelling backwards would entail travel at speeds greater than c (the speed of light).  But it is a fact that to move any body from rest to that speed requires an infinite amount of energy, which does not exist.  So, the only option is to use a particle which ALWAYS travels faster than c.  This particle is called a tachyon, as predicted by M-Theory, but whether or not such a particle exists is currently speculative.  The tachyon has a negative mass, travels at velocities greater than c, and travels in the opposite direction of time as we do."
Re: A Classical Objection to Modern Physics?,"The same reason nothing you ever observe is affected by the earth revolving.  It's moving at a constant velocity, meaning there is no acceleration and therefore no force (F=ma).  Force is what you feel, which is why you feel pushed toward the back seat of a car when you are accelerating (speeding up) but you don't feel it when you're moving constantly.  Like, in a vehicle, if you throw up a ball, it will come right straight down because if the car is moving at 50 mph, it, you, and the car are all moving at 50 mph.  The bird, us, the air, the tree, the worm.. everything's moving at the velocity of the earth so it is considered ""at rest"" because it is our frame of reference."
how big is the 'rio de la plata' delta?,"It is 1,198,000 sq. mi. in area."
Fillibusters can happen the the senate. How about in the house of Reps?,They ended the filibuster in early 1800's
why the moon show the same face?,"The answer is that the Moon's period of revolution (one orbit around the Earth) is the same as the Moon's period or rotation (one spin around it's axis). The result is that the Moon always keeps on side facing the Earth.\n\nThis phenomena is called ""tidal locking"" and occurs because, while the Moon generates tides in the Earth, the Earth also generates a tide in the Moon (in the solid rock). The Moon's tidal budge moves as the Moon rotates. The energy for this, and the gravitational effects from the distortion, lead to a braking effect. The Moon slows down its rotation until it is such that the buldge is on one side always faces the Earth.  Now the tidal bulge is stationary (facing the Earth) and no more braking occurs. \n\nThis is also related to why there are lot more Lunar Mare on the near side than the far side. The Moon's core is shifted slightly towards the Earth, so it was easier for lava seas to form on the near side.\n\nMany other satellites are tidally locked to their planet. Mercury is almost tidally locked to the Sun."
how to make right chlorination using phosphorous oxychloride?,Lets resolve this overdue question by bringing it to a vote.
What does GOP stand for?,G-Dubya's Occultist Party or G-Dubya's Omnipotent Paradox\n\n-Colourgirlie ^_^.
what do you think is man's greatest invention?,"It is known that the man greates invetion ever are the toilet(wc) conducts. Because without them no city, or metropolitan will ever had existed.\n\nSilly... but TRUE."
Why is math so complicated? Or am I just math-impared?,"Some math a lot of people learn is very complicated and frustrating. Don't blame yourself; you aren't impaired. math, like life, can get frustrating and complicated.\n\nDon't feel sad. There is a lot of people who think math is extremely complicated."
War on Terror?,"Why is it called war on terror. Was it not called war on terrorism just a few months back ? I think that war is built on a lie. The lie about WMD being ready and able to be a threat to the US. I can only say that this was a picked fight and later grab for any reason to get it started. When it got started it was a point of no return. \nSaddam is and was a crook , he have been that in the  00s in the 90s and in the 80s . Even in the 70s. \n\nHere comes the part I dont understand. Why arming Saddam in the 80s like US did. They knew he was a crook but that didnt matter for Reagan or Bush sr. Who cared about the Iraqi peolpe back then supporting there oppressor. \n\nIn a way by being in Iraq at the moment and hopefully building something that will last will bring some ease on US as a nation that before supported the Iraqi peoples opressor. Like clean up there own mess in a way. \n\nBefore people begin jump me and call me anti american I will point out that US wasnt the only nation that supported Saddam in the 80s. But since the question specific relate to US and Iraq I have limited the answer or more correctly my point view in the issue."
Is there a formula for choosing when to stop checking the price of goods?,My idea is negative.
what is a blackhole?,"A black hole is a concentration of mass great enough that the force of gravity prevents anything from escaping it except through quantum tunneling behavior (known as Hawking Radiation). The gravitational field is so strong that the escape velocity near it exceeds the speed of light. This implies that nothing, not even light, can escape its gravity, hence the word ""black"". The term ""black hole"" is widespread, even though it does not refer to a hole in the usual sense, but rather a region of space from which nothing can return."
what is an example of evaporation?,"every few weeks, we have to refill the fish tank at the house with at least a couple of gallons of water. It is always worse in the winter when we run the heat, than in the summer when we keep the house cool. where does the water go? evaporation."
How do you inscribe a reular square in a circle?,"To incribe a regular quadrilateral (ie sqare) into a circle with only a compass and straight edge do the following:\n\n1. Draw a circle. Label the center A.\n\n2. Draw a diameter of the circle by placing your straight edge on the center of the circle. Label the points where the diameter intersects the circle as B and C.\n\n3. Set your compass to a wider amount than you used to draw your circle.\n\n4. Without adjusting your compass, draw a circle with B as the center.  \n\n5. Without adjusting your compass, draw another circle with C as the center. \n\n6. Your two new circles will intersect at two points. Use your straight edge to draw a line through these two points.\n\n7. This new line will intersect the original circle at two points. Label those points as D and E. \n\n8. B, C, D, and E are the corners of your inscribed square. You can use your straight edge to draw the edges of the square.\n\nReason this works:\n\nIn steps 4 through 6, you contructed the perpendicular bisector to the diameter of the original circle.\n \nThis means that segment DE is a diameter of the orignal circle (since it passes through the center of the circle). This also means segment BC and DE form a right angle. \n\nIf you look at triangles BAD and DAC; BA, AD, AC are all radii of the original circle (and thus the same length). Therefore the triangles are exact copies of each other and BD and DC are the same legth. This logic will show you that all the sides are the same length.\n\nAngle DBE inscribes one half of the original circle since DE is the diameter of the circle. This makes DBE a right angle. Similar logic will show you all angles of your square are right angles. \n\nSince your sqare has all equal sides and all equal angles, it is a square."
what do you think about iran 's leader?,"He's obviously someone who should be watched very carefully by sane people, mostly because he can be regarded as crazy and dangerous.  He said that Israel should be wiped off the face of the planet for one thing, and then in order to try to backpeddle from that he said that they should all move to Europe.  This is obviously a guy who might not be able of making reasonable decisions, especially when he sees the world in such a unreasonable viewpoint."
why is the sky blue?,"For goodness sakes, do a search before asking a question. This quesion has been asked and answered at least 70 times before. Don't believe me, look at the link below."
Do you....yahoo?,"home page, mail, search, myweb, groups, music, local, maps, news, movies, finance, my, flickr.  you name it, i yahoo it. :)"
explain manifest destiny and give examples in US history?,"It was a term coined by Horace Greely.  The theory was that our manifest destiny was to take possesion of the whole continent.  Horace Greely often said Go west, young man, go west as an out growth of this theory."
What sense does it make that factorial of zero is one?,"It is supposed to make perfect sense. Number of ways to arrange 0 things is 1, since there are only one way, doing nothing.\nNot only that, this works nicely when you work with combination. There is also a generalization of factorial in real numbers, and you can also get 0!=1 from the new definition of factorial in real numbers."
how can we calculate the force of the collision & the duration of the collision?,"the formulas it seems your looking for are:\n\np=mv=J=Ft  where p, v, and t actually have a the symbol delta in front of them meaning ""change in""\n\np is momentum which equals mass times the change in velocity and J is impulse which equals force x time.  Because the change in momentum is equal to the impulse, you can usually set mv=Ft.  You should be given the mass and velocity, and either force or the change in time(duration) in order to solve for the other one.  If the question is asking for both, then you probably have to find force first in some other way, then use that formula.  If you need to find the force in some other way, just think about all of Newton's laws and stuff that you've learned and use them with the rest of the information that the problem gives you, and you should be able to come up with something... if not, post the whole question here and ill try to help :)"
is anyone else sick of all the political bull thats going on?,YES I REALLY AM
How much money has the US spent on the war in Iraq to date?,Over $230 Billion. The statistics are published daily at ICH:  http://snipurl.com/ayzc. Other stats are in the Source info following.
Have you changed your mind about the war in Iraq in the last days or weeks?,"No, because I've been ""pro"" all along.\n\nMy mind has changed about a related concern, though: up until recently, I viewed the American Democratic party as an embarrassment and had little concern for them. \n\nNow, after the stunning showing the Iraqi people made in this last election, so soon after the defeatist words of Howard Dean and other Democrats, I truly worry for the future of the Democratic party.\n\nI mean, I may have voted Reuplican in the last election, but I think it would be really, really bad to have only one viable political party in this country.\n\nSo instead of mostly feeling embarrassed for the Democratic party, I am mainly fearful for their future."
calling all ye math experts?,"Let the child be 'x' years old right now.\nSo the mum must be x + 21 years of age.\nSo, After 6 years the mum will be x + 21 + 6 = x + 27\nyears old and the child will be (x + 6) years old\nat that time.\nSo from the given information we get,\n5*(x+6)=x+27\nTherefore,\n5*x+30=x+27\nTherefore,\n4*x=27-30\nTherefore\n4*x=-3\nTherefore\nx=-3/4\nBut -3/4 years = -3/4 * 12 months\ni.e. the child is -9 months right now.\nThis means the child is just getting conceived.\nHence the father of the child must be in bed with\nthe mum right now!"
when is the next full moon?,This depends on where you are in the world a bit.\n\nBut roughly on December 15th. \n\nThe moon will rise in Los Angeles on that date at 4:40pm (sunset being at about the same time. The moon will have been full for some hours earlier but not visible in Los Angeles any earlier. \n.
Does anyone know of a REAL Lawyer in Missouri?,"Try http://www.martindale.com/ to find a lawyer. I am sure that most of the lawyers in Missouri would fit your description, but whether you see that or not is a different story."
what is the size of an eliptical galaxy?,"I think they vary quite a bit. But the average size is about the same as the Milky Way, 100,000 light years across according to the reference I found."
Should we start looking for an alternative energy source in this decade?,"We should have started decades AGO.  Some people think it's already too late.\n\nFor one thing, finding anything that is capable of providing the same amount of energy as easily as petroleum ... is doubtful at best.\n\nAdditionally, the only way we're going to make these discoveries is if we make them BEFORE we run out of oil.\n\nRemember, oil is not just for energy.  Most everything we use is made by using oil ... like plastics.\n\nBest source: solar.  We should all have solar cells on our roofs, provided by the federal government."
non profits 509 a 1?,"It appears that the question period has expired. If you have received an answer that meets your needs, please choose a 'best answer.'\nRegards."
Anyone know the web site of the San Fransisco Police Officer who made bad video about US police ?,The KRON channel 4 (San Francisco) website has some clips from it. I think the original was on a closed site.
"what is the time difference between IRAQ & Portland, Oregon, USA?","http://www.timeanddate.com/worldclock/custom.html?cities=202,27"
Will Jeb Bush run for president in the next election.?,"God....we can only hope not!!! This country can't afford another 4 years with yet another Bush moron! \nWhat, were they all dropped on their heads when they were kids, or did the alcohol and cocaine destroy the few brain cells they had?!"
