,names,products#,marked as helpful,marked as funny,post_date,Recommend?,times on record,review
13,[49th]TheProTaco,173,227,11,"August 17, 2017",Recommended,140.1,"It's finally out!   Absolutely phenomenal, 10/10.  I don't go a single moment in this game without being mesmerized by how fantastic it is.  I'll list some pros:  -Beautiful art style, everything looks amazing.  -Combat that is both simple and incredibly difficult at the same time. After two-to-three encounters the player will have a good grasp of how combat works, but throughout the entire game they'll be learning new ways to manipulate the environment and their abilities to play better.  -Fantastic writing, honestly amazing.  -Perfect soundtrack, every sound and song in this game is so perfectly adjusted for the situation it's seamless and very immersive.  -Highly addictive, once I sit down to play I'm practically rooted to my chair to continue.  -Companions you'll care about, it's the tragedy of lesser RPGs that your companions are boring and lifeless, but here, everyone has their own ambitions and goals, and WILL pursue them.    There's very little wrong about this game. Previously I mentioned that voice acting won't be included which would be a con to some, but in a complete surprise Larian have voiced the entire game, despite the fact that was never planned throughout development.  Highly recommend purchasing it, you really can't go wrong on this purchase."
14,Potato PC,560,111,3,July 11,Recommended,60.6,"Pros : + Magnificent story + Very rich world creation/lore + Superb character with amazing development + Totally customizeable character. Gender, race and background actually affect the story. + Choices matter and hugely affect the story + Actually need to think to solve quest, there are barely any hint + Multiple diverge ending + Beautiful graphic + Exquisite OST/Soundtrack + Truly-Solid and Complex Isometric RPG + Suitable for casual to hardcore player + Single-player and co-op story mode + Truly fun co-op story mode and each player have their own story + Cheap price, considering game quality  Cons : - Few annoying rare bug such as Player can't do anything on combat and Crash on save  It's no exaggerating calling Divinity: Original Sin 2 as Magnum Opus of RPG video games and it totally surpassed it's prequel almost on every way. I strongly recommend this game to everyone, even if they never play RPG on their life."
15,👌m8,102,179,25,February 15,Recommended,231.8,"Most Animals in Modern RPGs:  ▫ [Player]: *clicks cat* ▫ [Cat]: *meow sound* ▫ *end dialogue* Divinity: Original Sin 2:  ▫ [Player with Pet Pal skill]: *clicks cat* ▫ [Narrator]: As you approach a stray cat, it looks up to you with its pupils thin as a needle... ▫ [Cat]: 'TIS A TERRIBLE DAY, INNIT? ▫ *shows dialogue options* Divinity: Original Sin 2 has reached new heights of what it is to be expected on huge Indie Games. Made by Larian Studios, it was able to level with AAA games that it even surpasses the standards, regardless of its flaws.  You'll play as your own character in the story, and embark on a journey towards the world of Rivellon as you find the answer to the cause of the Void's awakening. You could also play as one of the six main characters with their own unique story if character creation is not your thing.  Also, quicksaving before doing anything else is a must. Talk to someone, quicksave first. Interacting an item, quicksave first. Opening a door, quicksave. After an autosave, quicksave.  REVIEW The game is very similar to its previous title, Divinity: Original Sin (DOS1). There may be changes, but there's nothing too drastic as far as I've observed.   STORYDOS2 moved towards a more interesting Plot. While it still does have DOS1's lighthearted ""HaHa""s, the studio was able to put the humor at the right spot. In a way, they're able to make a decently captivating tale for an RPG. What's so interesting about the plot's flow is that the game doesn't make you feel like you need to save the world because when you want to go somewhere, doing so will progress your main story. The linearity is barely present that I didn't even know which quest I should keep my focus on my first playthrough.   It's quite unfortunate, for me at least, how the game treats the Party Interaction on the whole story as it progresses because it had less... interaction. Back in DOS1's party interaction, you're able to choose a dialogue for everyone. DOS2 removed that feature and only allows you to choose a dialogue for your main character only; however, in turn they added an Attitude system, so your party members and everyone else in the game have their own morals and beliefs. In the end, it sadly lowers the replayability. GAMEPLAYOn the matter of the game's Quest System, I become lost throughout my first playthrough. Given that most of your progress relates to the main story, a quest that I've ignored for an in-game day (since I'm focusing on a particular quest at that time) suddenly updates along with the quest I'm currently taking. There are some cases during an update to my current quest, a new quest opens up in my journal. In a long run, the quest log became flooded to a point that I don't know which quest would I continue.  The turn-based Combat System is really great. Given how there's hundreds of skills and hardly countable ways of killing an enemy, the fact that good positioning actually gives an advantage, it's hard to get bored of it. Unlike many turn-based games, the Original Sin series shines on how your surroundings affect you and your enemy's strategy. The lit torch stand, the oil puddle poured near an explosive barrel, the sea shore, everything is interactive. In DOS2, the height advantage was a great addition.  The game's Challenge is the one that sparks its replayability. It's not just how unfair some items/skills are, it's the moment when the AI actually knows how, where, and when to use the environment and situation to their advantage. Once you've come up with a different build, their playstyle changes. They are annoyingly smart that sometimes they're three turns ahead of you if you're not aware enough.  Carelessly set a trap mine near an enemy, one of them will then teleport you on top of it. Enemies even face behind a wall just so your Rogue character can't backstab him/her. Although, there is a time when a hazardous area is too wide, the AI keeps on walking around the said area until they die instead of just standing still. It has its awful moments sadly. AESTHETICSComparing the two of the series, DOS2 was able to utilize more graphical features which made it far more detailed than DOS1. It shifted from a cartoony colorful vibe into a more realistic and bleak environment. Even so, the Graphics were decent at best.   The Music score is an improvement from the previous title. Just comparing the two themes, you could say that they have more budget this time haha. It's interesting how you could select your character's instrument theme, so you could hear a particular instrument on certain occasions depending on what you chose for one of your characters. As much as how catchiness goes however, it's not as grand as what I always hear from Bioware and Bethesda games. For short, DOS2's music is ingenuinely good.  Sample OST I personally liked: https://www.youtube.com/watch?v=FxuC0i5S_LE For a game that lacks flashy CGI cinematics, they were able to compensate it with the expressive Voice Dialogues. You've gotta hand it to the voice actors and scriptwriters for making their characters and npcs feel alive. It's interesting how most of them have something to say inside and outside of the conversation. FEATURESFor a turn-based game, the Playability is good. Besides the 4 player multiplayer, there's couch co-op and controller support. The game is playable in any way but 3-4 splitscreen multiplayer, yet it's still rare to find such accessibility this time around in video games.  Game Master Mode is a cool feature that you can't believe it's included on the standard game. Though, I'm not fond of Dungeons and Dragons, it really seems that's what it's trying to make out of this game mode. In my case, this is a casual DnD that includes the game's character abilities and such. An interesting mode to say the least.  Arena Mode is a decent feature if you're up for some PvP duels. Besides the fact that you could play online, there's an offline mode called Hot Seat where you and your fellow players play in one device.  Lastly, this game has the Classic Edition (CE) which removes tons of new dialogues and enemy encounters along with the updated User Interface for controller users from the Definitive Edition. VERDICT (👍 = Good, 👌 = ok, 👎 = Bad) TOPICDETAILSRATINGStory👍 Non-linear Story Progression 👌 Simple story plot 👌 Decent character lore 👌 Different endings 👎 Lacks Companion Interaction8/10Graphics👍 Amazing Visuals on Environment 👍 Well Optimized9/10Audio👍 Engaging Character Voices 👍 ""GREAT, but not so great"" Soundtrack9/10Gameplay👍 Great Tactical Combat 👍 Game Master Mode + Arena Mode 👍 PvP. Couch Co-op. 4 Player Co-op. Controller Support. 👌 AI has its moments 👎 Lacking In-game Tips9/10 DEDUCTIONS (Maximum of 1.0 per issue) ❌ Visual Bugs ( - 0.20 ) Invisible Particles e.g. Poison Cloud ❌ Gameplay Bugs ( - 0.05 ) Locked Inventory NOTE: Can be fixed by reloading a save  OVERALL: 8.50/10~ You know what, pen & paper games aren't so boring after all. REMARKS Divinity: Original Sin 2 is obviously not for everyone to love. It's neither an Action RPG like Diablo that the majority wanted nor a hardcore RPG like Baldur's Gate. It's definitely not for those who hates reading a lot of texts as well. I would recommend this to anyone who, for once, has played and liked turn-based games because this one's the best of the genre as I'm writing this review."
16,Bag33,409,"1,672",50,"September 15, 2017",Recommended,6.1,"I'm 48.  I've been playing pc games since before Zork.  This is the best RPG I've ever played.  This is what, as a kid, I had always hoped these games would turn into.  Great Job!!!!  Great game."
17,Blaze,112,161,25,"December 6, 2017",Recommended,63.1,"Spent two months debating whether I should spend this much money on a game.   I would spend twice the money to experience this game again for the first time. Haven't even touched Multiplayer/DnD mode yet.  As a longtime fan of RPGs, this is not just the greatest RPG I've ever played, it is in the running for the best single player experience I have ever had on PC.  Everything you do seems to have a meaningful impact on everything you will do next. After 30 hours of gameplay I had to stop reloading quick saves and accept my decisions... Divinity 2 rarely presents you with black and white moral choices, and a simple slip of the tongue will see you losing loved ones fast.  The combat is challenging, in a good way. It allows you to customize your party completely and make logical and creative decisions in combat that you don't really expect to work but then they totally have an effect you weren't expecting....  ...that is why this game is perfection. Every time I pushed at the borders of the game to see if I could get away with something, I realised the border wasn't there... so I pushed harder and got more creative...  I have a man who can speak to Animals and I highly suggest you take the Perk that allows this ASAP in game because it opens up a huge depth to storyline. I now treat Chickens and Squirrels with the same respect as I do any other NPC. I speak to the ghosts of the dead and they present me with A LOT of moral decisions.   How far will you spin your moral compass to become Godly powerful? Who will you grow close to only to realise that at any moment they might stab you in the back or even worse... that you will have to choose to lose for the sake of the greater good?  14/10 would sneak a peek at Lizard Royalty having sex in a caravan again x"
18,Bee,131,104,9,June 24,Recommended,436.2,"After hitting over 400 hours in Divinity: Original Sin 2, I feel like I can finally review it in full depth.  The game is spectacular. It was everything I wanted from Original Sin and then more.   The quests are in-depth, and you feel the consequences of your character/race choices on top of the dialogue you pick. I've played four full playthroughs, and each one I was still finding things I had missed (and I'm sure I will find more in my next one). The story is just fantastic, I couldn't ask for more from a storyline. The game makes you want to read every little lore book and just learn more and more about anything and everything going on. And if you're an Original Sin fan, there's little pieces of lore left around everywhere for you to prick your ears up at and get excited about (and then some!).   Then there's the combat. It's fantastic. It's incredibly strategic in every aspect. Your first playthrough on Tactician will give you some good laughs at some of the difficulty you need to face and work around (this is a good thing! My boyfriend and I faced some extremely hilarious moments of trying to figure out a fight and failing miserably when we were learning the game, it was amazing fun). And then you enter the realm of searching out perfect gear, perfect min-maxing, perfect stats, and perfect combat. That, in itself, is the most enjoyable aspect of the combat in Divinity: Original Sin 2. You can hop from easier combat to the most intense combat the game offers, and it's all fun. I recently finished my solo Honour Mode, and it was definitely hard and an adventure and left me sitting during quite a few fights thinking out beforehand how I was going to handle them because even the smallest mistake can mess you up. I can go on and on about how amazing the combat is, but you really just need to delve into it yourself to truly see how remarkable it is. I can't find anything I enjoy as much as D:OS2's combat system anywhere else.  If you're looking for a game to literally lose yourself in for long periods of time, or to even play casually in your free time, this is definitely my go-to. This is just a masterpiece of a game, it's every fantasy and rpg player's dream come true. And did I mention the co-op is incredibly fun? Really, it's just a stunning piece of art.  Now, I have a great many pros for D:OS2, but I do have a few cons, and these are entirely subjective, and my own personal opinion.  I really don't enjoy the four-man party system. For someone like me, it's way too overwhelming managing four characters at all times, and I just don't like it. Because some best in slot gear pieces are unique and you won't find ANYTHING else with their bonuses on in the game (Second Skin, ihu), you're just sacrificing too much playing a full four-man. But that's from a min-maxing perspective, and probably not that important to others. The second part of why I don't like the four-man parties is because once you get a taste of the solid power of a Lone Wolf character, you really can't ever go back. Now this can be a good or bad thing. It gives the game a lot of replayable value, I'm about to hit my 5th playthrough and I'm finally needing to stray away from my babe Sebille ( ): ), which pushes me to pick other players to experience their stories.   With all that being said, this is definitely a game I recommend anyone to buy. It's amazing in every aspect. I absolutely cannot wait until the Definitive Edition either. And big, big props to Larian Studios for their choice to give the buyers of D:OS2 the Definitive Edition for free. Incredible company who listens to their audience. I can't wait to see what future games come!"
19,Miedemantus,706,356,18,"December 14, 2017",Recommended,87.9,"Only 8 hours in.... I seriously wish that a single day was 10.000+ hours long, so I could just play this for a very long time without having to think about other responsibilities. I can't stop thinking about the next time I'm firing up this game, the adventures that I'll be experiencing and what choices to make. Boy oh boy, you're in for a treat if you haven't played this game yet and like RPG games."
20,Zant,142,139,15,June 3,Recommended,175.7,"I cannot recommend this game enough. It is an RPG that breaks the boundaries of what you perceive an RPG to be. Every problem or puzzle has what feels like more solutions than you can conceive of. Original Sin 2 rewards clever thinking, tactics, and the role-playing itself over all else. Stat building and creating the ""perfect character"" is always a fun aspect of CRPGs but I'd say it's not the main focus here. Don't get me wrong, there are tons of numbers and plenty to min-max, but at the end of the day, it doesn't matter how much damage you do if you're not in combat, and the game truly shines when you can avoid it.  Don't get me wrong, the combat in this game is fantastic. You can control all of your (up to 4) party members individually outside of combat and prepare the upcoming battlefield to your liking assuming you have the drop on your opponents. Place your archers up top, give your wizards ample space, have clean terrain for your warriors, e.t.c. However, when you find yourself able to circumvent combat, you'll be rewarded with a level of satisfaction very rare in games these days.  It constantly feels like Original Sin 2 almost dares you to break the game's boundaries. It challenges you to out-think the developers. Everything matters in this game. I'll leave you with an anecdote:  As I explored, searching for a quest target, I came upon a ruin. I saw a passage through, but in between it and myself were a few foes I was most certainly not equipped to handle at my current level. In other games I'd probably have left and came back later when I was a higher level, but not here. I navigated around the edges of the NPCs' detection radius in stealth with each of my characters individually until I found a minuscule spot I could teleport to that would get me past my foes. It was certainly inconvenient, but it worked - I painstakingly teleported each of my characters in turn to that one spot only to realize the one doing the teleporting was stuck below; the one casting the spell is unable to use it on themselves. After some hard thought I realized I could place the teleportation artifact close enough for my previously transported characters to grab. I then used it to pull my last hero past the baddies. I exhaled a sigh of relief and then panned the camera to see I had just come face-to-face with the very character I had been trying to track down. I was positively oozing with smugness."
21,xodarap777,219,173,3,"May 27, 2017",Recommended,122.8,"I know it's blasphemy to say it... But this is easily on-par, already, with old classics like Baldur's Gate.    I think it actually surpasses them.  The freedom is (even) better, the atmosphere, the character-building, the amazing replayability, everything.  It's significantly better than the first, which I found enjoyable but didn't fall in love with.  It had so much potential, but never really seemed to get there.  This gets there - right away.  It's that good."
22,Empyreo the Stalwart,134,363,42,August 21,Recommended,270.9,I'm not very good at reviewing game but not leaving a recommendation for a game I believe to be one of the best Role Playing Games feel like heresy. 
23,Singtech,95,"1,047",383,"September 18, 2017",Recommended,627.5,"30 hours in...  ""That was only tutorial island!?""  (200 hours later) EDIT: that was an epic ending. Thank you Larian for such a great game  A shame I had nothing to use my 600k gold on...."
